Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5458379553,4.00130174169,0.0,0.0,4.58992532963,8.1892,61.5362090743,51.8462302772,3.33988,6.35009879707
 01/01  02:00:00,14.7451127094,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7607278613,0.0,0.0,0.0,1.52997510988,7.4902,3.93195290093,0.0,3.33988,0.592072900928
 01/01  04:00:00,14.766270469,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9189296653,0.0,0.0,0.0,1.52997510988,7.4902,3.931958803,0.0,3.33988,0.592078803
 01/01  06:00:00,22.6939189229,4.00130174169,0.00992934523105,0.0,4.58992532963,8.1892,64.7578888874,56.3881888874,8.3497,0.02
 01/01  07:00:00,38.6442605414,4.00130174169,0.016435483022,0.0,9.17985065927,19.4245,75.1409118406,54.4040052359,16.6994,4.03750660472
 01/01  08:00:00,43.9826396144,4.00130174169,0.0141142598838,0.0,9.17985065927,26.9147,75.8603833556,46.7735889898,25.0491,4.03769436575
 01/01  09:00:00,41.894720382,4.00130174169,0.00234285256068,0.0,9.17985065927,26.9147,72.3159017515,34.3044064552,33.3988,4.61269529629
 01/01  10:00:00,34.4399826822,4.00130174169,0.0,0.0,9.17985065927,19.4245,57.0458818321,27.9582192661,25.0491,4.03856256602
 01/01  11:00:00,41.9764234524,4.00130174169,0.00568413774798,0.0,9.17985065927,26.9147,69.1022734792,14.5987462139,41.7485,12.7550272653
 01/01  12:00:00,42.7316890382,4.00130174169,0.0,0.0,9.17985065927,26.9147,57.1529664721,2.65022858211,41.7485,12.75423789
 01/01  13:00:00,42.1114514815,4.00130174169,0.0119593276329,0.0,9.17985065927,26.9147,52.7400330186,0.0,41.7485,10.9915330186
 01/01  14:00:00,34.5794076585,4.00130174169,0.0,0.0,9.17985065927,19.4245,43.854309938,0.042641986769,33.3988,10.4128679513
 01/01  15:00:00,34.5683243662,4.00130174169,0.0,0.0,9.17985065927,19.4245,32.6234605391,0.0653807823123,25.0491,7.50897975683
 01/01  16:00:00,34.5520543074,4.00130174169,0.0,0.0,9.17985065927,19.4245,41.4844652107,0.0,33.3988,8.0856652107
 01/01  17:00:00,41.9787225759,4.00130174169,0.00552221496756,0.0,9.17985065927,26.9147,58.1830687249,0.0,50.0982,8.08486872494
 01/01  18:00:00,45.1197245257,4.00130174169,0.0,0.0,9.17985065927,26.9147,65.3629234298,4.85045815509,50.0982,10.4142652748
