Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4231425972,3.95933940509,0.000965511138447,0.0,4.58992532963,8.1892,126.66701328,115.820597354,3.33988,7.50653592535
 01/01  02:00:00,14.648070044,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6670670853,0.0,0.0,0.0,1.52997510988,7.4902,3.93194463763,0.0,3.33988,0.592064637633
 01/01  04:00:00,14.6746786461,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8216715526,0.0,0.0,0.0,1.52997510988,7.4902,3.93195055284,0.0,3.33988,0.592070552841
 01/01  06:00:00,22.5543829977,3.95933940509,0.011583179787,0.0,4.58992532963,8.1892,138.342892683,129.973192683,8.3497,0.02
 01/01  07:00:00,38.5104298313,3.95933940509,0.010842305325,0.0,9.17985065927,19.4245,145.667429053,124.35275295,16.6994,4.6152761032
 01/01  08:00:00,42.7953601459,3.95933940509,0.00924334699319,0.0,9.17985065927,26.9147,140.939565972,110.700948567,25.0491,5.18951740449
 01/01  09:00:00,41.7444110552,3.95933940509,0.00129518203042,0.0,9.17985065927,26.9147,143.094664671,105.081356963,33.3988,4.61450770796
 01/01  10:00:00,34.2570581365,3.95933940509,0.0,0.0,9.17985065927,19.4245,133.994127742,104.329573596,25.0491,4.61545414639
 01/01  11:00:00,41.7574509448,3.95933940509,0.00471649592075,0.0,9.17985065927,26.9147,151.480938511,94.6302483855,41.7485,15.1021901251
 01/01  12:00:00,42.5316912756,3.95933940509,0.0,0.0,9.17985065927,26.9147,141.6037318,84.7540115443,41.7485,15.1012202561
 01/01  13:00:00,41.8102927471,3.95933940509,0.0,0.0,9.17985065927,26.9147,128.900522448,74.9846931808,41.7485,12.167329267
 01/01  14:00:00,34.2873355111,3.95933940509,0.0,0.0,9.17985065927,19.4245,117.456601471,71.8932082412,33.3988,12.16459323
 01/01  15:00:00,34.2884743164,3.95933940509,0.0,0.0,9.17985065927,19.4245,108.889082991,74.5901609939,25.0491,9.24982199745
 01/01  16:00:00,34.2769719283,3.95933940509,0.0,0.0,9.17985065927,19.4245,119.819170261,77.1711327441,33.3988,9.24923751679
 01/01  17:00:00,44.8877190829,3.95933940509,0.00912484154309,0.0,9.17985065927,26.9147,134.351356491,75.0044684221,50.0982,9.24868806855
 01/01  18:00:00,45.9495876079,3.95933940509,0.0,0.0,9.17985065927,26.9147,136.684536959,74.4195821134,50.0982,12.1667548455
 01/01  19:00:00,45.9544588174,3.95933940509,0.0,0.0,9.17985065927,26.9147,137.545325253,72.3472539789,50.0982,15.0998712738
 01/01  20:00:00,38.5985514207,3.95933940509,0.0,0.0,9.17985065927,19.4245,118.07395967,69.5734519889,33.3988,15.1017076811
 01/01  21:00:00,38.5814869297,3.95933940509,0.0,0.0,9.17985065927,19.4245,113.820292531,68.2557363701,33.3988,12.1657561605
 01/01  22:00:00,38.5108957896,3.95933940509,0.0,0.0,9.17985065927,19.4245,115.234098718,75.0820852352,25.0491,15.1029134831
 01/01  23:00:00,38.4001665,3.95933940509,0.0,0.0,9.17985065927,19.4245,108.136230575,79.26972612,16.6994,12.1671044553
 01/01  24:00:00,39.2075349944,3.95933940509,0.0,0.0,9.17985065927,19.4245,95.2165073348,80.5202841742,8.3497,6.34652316057
 01/02  01:00:00,22.4461999797,3.95933940509,0.0,0.0,4.58992532963,8.1892,103.756368151,94.069959269,3.33988,6.34652888254
 01/02  02:00:00,14.6532026972,0.0,0.0,0.0,1.52997510988,7.4902,3.93194213188,0.0,3.33988,0.592062131884
 01/02  03:00:00,14.67725447,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6887346331,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8396955897,0.0,0.0,0.0,1.52997510988,7.4902,3.93194805108,0.0,3.33988,0.592068051078
 01/02  06:00:00,22.561140413,3.95933940509,0.00128436356147,0.0,4.58992532963,8.1892,96.919681547,88.549981547,8.3497,0.02
 01/02  07:00:00,38.526635127,3.95933940509,0.0133082357428,0.0,9.17985065927,19.4245,103.587295424,81.6985206841,16.6994,5.18937474033
 01/02  08:00:00,42.8266919365,3.95933940509,0.0175469077657,0.0,9.17985065927,26.9147,115.49782367,72.3932903399,25.0491,18.0554333304
 01/02  09:00:00,41.7707714977,3.95933940509,0.00188719584144,0.0,9.17985065927,26.9147,119.701633181,70.018326472,33.3988,16.2845067089
 01/02  10:00:00,34.28791009,3.95933940509,0.0,0.0,9.17985065927,19.4245,107.355234992,68.381542265,25.0491,13.924592727
 01/02  11:00:00,41.7918194866,3.95933940509,0.0085632714375,0.0,9.17985065927,26.9147,120.852800382,66.9377202764,41.7485,12.1665801053
 01/02  12:00:00,42.5516336623,3.95933940509,0.0,0.0,9.17985065927,26.9147,114.089361447,58.4199297767,41.7485,13.9209316704
 01/02  13:00:00,41.8433881871,3.95933940509,0.0,0.0,9.17985065927,26.9147,105.290746298,51.3758281689,41.7485,12.1664181295
 01/02  14:00:00,34.3105064761,3.95933940509,0.0,0.0,9.17985065927,19.4245,102.808656962,58.9929532284,33.3988,10.4169037336
 01/02  15:00:00,34.3048503794,3.95933940509,0.0,0.0,9.17985065927,19.4245,103.939314025,69.6398368666,25.0491,9.25037715815
 01/02  16:00:00,34.2941009964,3.95933940509,0.0,0.0,9.17985065927,19.4245,114.713472551,72.0646475256,33.3988,9.25002502551
 01/02  17:00:00,44.9080582933,3.95933940509,0.010283452148,0.0,9.17985065927,26.9147,127.380785569,68.0329072178,50.0982,9.24967835075
 01/02  18:00:00,45.965205499,3.95933940509,0.0,0.0,9.17985065927,26.9147,128.032929734,65.7675787598,50.0982,12.1671509741
 01/02  19:00:00,45.9773680439,3.95933940509,0.00455162999316,0.0,9.17985065927,26.9147,124.779405739,57.8150996847,50.0982,16.8661060544
 01/02  20:00:00,38.624923444,3.95933940509,0.0,0.0,9.17985065927,19.4245,107.291977654,55.8414406393,33.3988,18.051737015
