Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,846.584921131,96.4735547807,459.230378835,0.0,34.9616554283,113.312780494,652.289155024,637.904131176,5.66466996096,8.72035388699
 01/01  02:00:00,935.788705321,96.4735547807,568.48177847,0.0,34.9616554283,113.312780494,655.627267369,632.541938246,5.66466996096,17.4206591621
 01/01  03:00:00,968.374388622,96.4735547807,592.400483257,0.0,34.9616554283,113.312780494,660.104924422,637.020847002,5.66466996096,17.4194074592
 01/01  04:00:00,969.561574646,96.4735547807,594.25286896,0.0,34.9616554283,113.312780494,656.427482913,642.041641707,5.66466996096,8.72117124484
 01/01  05:00:00,967.172989893,96.4735547807,582.687426509,0.0,44.4937663224,113.312780494,659.097239088,636.013444807,5.66466996096,17.4191243198
 01/01  06:00:00,955.348625271,96.4735547807,566.656441403,0.0,44.4937663224,113.312780494,670.737242523,639.154631698,14.1616749024,17.4209359217
 01/01  07:00:00,1013.28740201,96.4735547807,548.500887444,0.0,54.0258772165,176.889270242,609.088110235,572.045842999,28.3233498048,8.71891743127
 01/01  08:00:00,983.438511817,96.4735547807,517.587690389,0.0,54.0258772165,184.38654557,620.558964433,560.653307274,42.4850247072,17.4206324511
 01/01  09:00:00,1055.80519053,96.4735547807,509.082047729,0.0,65.1572554096,220.04316451,604.915423654,530.769331285,56.6466996096,17.4993927589
 01/01  10:00:00,1042.65854938,96.4735547807,496.750122587,0.0,65.1572554096,212.545889182,592.541308666,523.691745239,42.4850247072,26.3645387201
 01/01  11:00:00,1022.46683626,96.4735547807,459.141490739,0.0,65.1572554096,220.04316451,614.609454695,517.319532908,70.808374512,26.4815472752
 01/01  12:00:00,997.738031566,96.4735547807,427.059604519,0.0,65.1572554096,220.04316451,623.995962911,517.87865865,70.808374512,35.3089297496
 01/01  13:00:00,988.304482325,96.4735547807,419.953225927,0.0,65.1572554096,220.04316451,613.056126405,515.761518976,70.808374512,26.4862329172
 01/01  14:00:00,983.927153105,96.4735547807,418.468771663,0.0,65.1572554096,212.545889182,595.321439309,512.193759254,56.6466996096,26.480980446
 01/01  15:00:00,992.168860448,96.4735547807,418.01595958,0.0,65.1572554096,212.545889182,588.366549134,510.573499003,42.4850247072,35.3080254241
 01/01  16:00:00,1005.65310682,96.4735547807,428.010503337,0.0,65.1572554096,212.545889182,587.121082346,503.988846885,56.6466996096,26.4855358511
 01/01  17:00:00,993.951538628,96.4735547807,431.548376934,0.0,65.1572554096,220.04316451,622.194731799,510.744233872,84.9700494144,26.4804485125
 01/01  18:00:00,930.733721253,96.4735547807,408.655879125,0.0,54.0258772165,184.38654557,647.246054572,535.915498883,84.9700494144,26.3605062753
 01/01  19:00:00,884.634918675,96.4735547807,390.171999617,0.0,44.4937663224,163.454314868,677.097950538,574.707281196,84.9700494144,17.420619928
 01/01  20:00:00,873.003512474,96.4735547807,385.850460753,0.0,44.4937663224,155.95703954,655.744487283,581.678348987,56.6466996096,17.4194386873
 01/01  21:00:00,819.606999776,96.4735547807,363.429300731,0.0,44.4937663224,124.558693486,686.280743969,620.912847592,56.6466996096,8.72119676684
 01/01  22:00:00,787.290973061,96.4735547807,329.810936973,0.0,44.4937663224,124.558693486,691.352754255,631.448557692,42.4850247072,17.4191718558
 01/01  23:00:00,771.362147543,96.4735547807,317.157016898,0.0,34.9616554283,124.558693486,695.105919575,649.361581441,28.3233498048,17.4209883296
 01/01  24:00:00,765.400207685,96.4735547807,307.094662708,0.0,34.9616554283,124.558693486,685.631952481,662.751336306,14.1616749024,8.71894127184
 01/02  01:00:00,755.218707914,96.4735547807,298.204528561,0.0,46.0930336215,113.312780494,695.1884277,672.102884239,5.66466996096,17.4208735005
 01/02  02:00:00,755.359716114,96.4735547807,296.592514301,0.0,46.0930336215,113.312780494,699.024790941,675.940238952,5.66466996096,17.4198820279
 01/02  03:00:00,747.363894473,96.4735547807,288.286468851,0.0,46.0930336215,113.312780494,710.227597364,687.144180334,5.66466996096,17.4187470688
 01/02  04:00:00,738.054733229,96.4735547807,279.741457888,0.0,46.0930336215,113.312780494,708.767086143,694.381615721,5.66466996096,8.72080046199
 01/02  05:00:00,817.743077425,96.4735547807,271.779306483,0.0,100.150657288,148.969399434,685.999567901,662.914738373,5.66466996096,17.4201595664
 01/02  06:00:00,840.866639094,96.4735547807,290.070513861,0.0,100.150657288,149.894399434,1259.67526333,1228.09326129,14.1616749024,17.4203271467
 01/02  07:00:00,1040.47132452,96.4735547807,267.271328211,0.0,176.471037341,302.612436532,842.100347628,805.05867064,28.3233498048,8.71832718332
