Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,595.145824538,96.5554385078,131.46200674,0.0,34.9616554283,113.312780494,1051.48489973,1037.08135212,5.66466996096,8.73887764582
 01/01  02:00:00,534.022887575,96.5554385078,61.8321535105,0.0,34.9616554283,113.312780494,1220.91768295,1197.7891319,5.66466996096,17.463881085
 01/01  03:00:00,537.1097053,96.5554385078,66.4271433422,0.0,34.9616554283,113.312780494,1101.06650461,1077.93816043,5.66466996096,17.4636742208
 01/01  04:00:00,538.716454094,96.5554385078,68.6865006447,0.0,34.9616554283,113.312780494,1050.63329068,1027.50519315,5.66466996096,17.4634275615
 01/01  05:00:00,551.512006983,96.5554385078,74.3351438705,0.0,44.4937663224,113.312780494,1003.33496645,980.207124897,5.66466996096,17.4631715902
 01/01  06:00:00,554.395058084,96.5554385078,77.5248405466,0.0,44.4937663224,113.312780494,993.433210672,961.808622031,14.1616749024,17.4629137381
 01/01  07:00:00,622.655770819,96.5554385078,76.1599574163,0.0,54.0258772165,176.889270242,949.519985916,903.733980298,28.3233498048,17.4626558131
 01/01  08:00:00,622.859976993,96.5554385078,82.4250458483,0.0,54.0258772165,184.38654557,928.073373772,868.125950811,42.4850247072,17.462398254
 01/01  09:00:00,713.495205054,96.5554385078,98.7273590893,0.0,65.1572554096,220.04316451,864.852568745,781.88217352,56.6466996096,26.3236956153
 01/01  10:00:00,736.237862764,96.5554385078,128.993190695,0.0,65.1572554096,212.545889182,755.728332882,686.778439473,42.4850247072,26.4648687021
 01/01  11:00:00,772.332496348,96.5554385078,160.185385562,0.0,65.1572554096,220.04316451,715.327117753,609.040851933,70.808374512,35.4778913084
 01/01  12:00:00,797.494423648,96.5554385078,189.312554213,0.0,65.1572554096,220.04316451,662.521744813,556.239132289,70.808374512,35.4742380114
 01/01  13:00:00,817.543718087,96.5554385078,214.306743241,0.0,65.1572554096,220.04316451,637.557026428,531.27822903,70.808374512,35.4704228862
 01/01  14:00:00,830.287348774,96.5554385078,236.492546043,0.0,65.1572554096,212.545889182,606.576534762,514.463227548,56.6466996096,35.4666076038
 01/01  15:00:00,839.749220062,96.5554385078,247.891180078,0.0,65.1572554096,212.545889182,591.773091846,513.825265313,42.4850247072,35.4628018264
 01/01  16:00:00,838.744989521,96.5554385078,250.825003068,0.0,65.1572554096,212.545889182,607.759974625,524.49963321,56.6466996096,26.613641805
 01/01  17:00:00,825.198948985,96.5554385078,252.658375279,0.0,65.1572554096,220.04316451,654.076381239,533.622703497,84.9700494144,35.483628327
 01/01  18:00:00,776.724667589,96.5554385078,247.485339421,0.0,54.0258772165,184.38654557,689.678623986,569.43069257,84.9700494144,35.2778820014
 01/01  19:00:00,739.359105808,96.5554385078,238.769414247,0.0,44.4937663224,163.454314868,724.979533076,627.833670445,84.9700494144,12.1758132163
 01/01  20:00:00,738.014636299,96.5554385078,245.850284942,0.0,44.4937663224,155.95703954,694.073621896,623.403349603,56.6466996096,14.0235726835
 01/01  21:00:00,705.219586715,96.5554385078,246.727535852,0.0,44.4937663224,124.558693486,734.851326177,660.740772965,56.6466996096,17.4638536025
 01/01  22:00:00,706.382887828,96.5554385078,249.193599502,0.0,44.4937663224,124.558693486,725.482015326,665.533403636,42.4850247072,17.4635869824
 01/01  23:00:00,696.813232712,96.5554385078,247.243888113,0.0,34.9616554283,124.558693486,737.109956532,691.323280798,28.3233498048,17.463325929
 01/01  24:00:00,697.975182148,96.5554385078,243.920427525,0.0,34.9616554283,124.558693486,738.386366176,706.761624658,14.1616749024,17.4630666154
 01/02  01:00:00,674.171717037,96.5554385078,221.012421433,0.0,46.0930336215,113.312780494,784.397696516,761.269953663,5.66466996096,17.4630728925
 01/02  02:00:00,669.285948627,96.5554385078,216.516748911,0.0,46.0930336215,113.312780494,789.595889847,766.468170553,5.66466996096,17.4630493328
 01/02  03:00:00,671.990967335,96.5554385078,217.345738532,0.0,46.0930336215,113.312780494,787.685127356,764.557571322,5.66466996096,17.4628860727
 01/02  04:00:00,672.687200441,96.5554385078,218.566247124,0.0,46.0930336215,113.312780494,784.223037652,761.095678395,5.66466996096,17.4626892955
 01/02  05:00:00,778.830916283,96.5554385078,238.408878513,0.0,100.150657288,148.969399434,704.023071562,680.895792721,5.66466996096,17.4626088805
 01/02  06:00:00,792.847428561,96.5554385078,250.694052676,0.0,100.150657288,149.894399434,1312.27665863,1280.65143791,14.1616749024,17.4635458214
 01/02  07:00:00,1026.77902769,96.5554385078,257.406748572,0.0,176.471037341,302.612436532,840.303791095,794.518382858,28.3233498048,17.4620584326
 01/02  08:00:00,1143.29982635,96.5554385078,262.035833764,0.0,243.2593065,310.10971186,779.579122541,701.786848527,42.4850247072,35.3072493065
 01/02  09:00:00,1185.895504,96.5554385078,269.108307992,0.0,243.2593065,310.10971186,755.598864008,663.43279077,56.6466996096,35.5193736287
 01/02  10:00:00,1229.51631365,96.5554385078,280.111329382,0.0,243.2593065,302.612436532,715.156517773,636.973761594,42.4850247072,35.6977314711
 01/02  11:00:00,1255.64727465,96.5554385078,296.844188094,0.0,243.2593065,310.10971186,731.139298505,606.392175233,70.808374512,53.93874876
 01/02  12:00:00,1266.16235447,96.5554385078,306.033039092,0.0,243.2593065,310.10971186,697.583071108,581.715117402,70.808374512,45.0595791935
 01/02  13:00:00,1223.18683507,96.5917067841,307.566670934,0.0,243.2593065,310.10971186,676.598043529,561.027055129,70.808374512,44.7626138882
 01/02  14:00:00,1224.26292262,96.7067086762,289.461196823,0.0,243.2593065,302.612436532,661.599785353,550.883921393,56.6466996096,54.0691643506
 01/02  15:00:00,1196.82270713,96.8133781221,270.403564237,0.0,243.2593065,302.612436532,630.848391204,543.412052988,42.4850247072,44.9513135085
 01/02  16:00:00,1203.70512726,96.9090381763,276.816771909,0.0,243.2593065,302.612436532,636.64544372,535.15641695,56.6466996096,44.8423271595
 01/02  17:00:00,1228.93749066,96.9928001439,284.175480534,0.0,243.2593065,310.10971186,655.267004135,525.743823881,84.9700494144,44.5531308396
 01/02  18:00:00,1217.48770673,97.0751562845,271.790845663,0.0,243.2593065,310.10971186,622.773062115,520.206138527,84.9700494144,17.5968741736
 01/02  19:00:00,957.591222831,96.5554385078,275.554715018,0.0,166.938926447,199.110933808,567.367423133,456.12086219,84.9700494144,26.276511528
 01/02  20:00:00,966.443119223,96.5554385078,288.425518697,0.0,166.938926447,191.61365848,531.738798247,457.569490247,56.6466996096,17.5226083903
 01/02  21:00:00,842.432621745,96.5554385078,298.516129425,0.0,100.150657288,124.558693486,583.968067064,501.047485555,56.6466996096,26.2738818991
 01/02  22:00:00,813.056350429,96.5554385078,308.742748298,0.0,100.150657288,124.558693486,565.624697595,505.672550226,42.4850247072,17.4671226623
 01/02  23:00:00,729.379423373,96.5554385078,291.122153151,0.0,46.0930336215,124.558693486,575.798154244,530.014630745,28.3233498048,17.460173694
 01/02  24:00:00,715.162407674,96.5554385078,276.390892561,0.0,46.0930336215,124.558693486,577.747065782,546.125409864,14.1616749024,17.4599810151
 01/03  01:00:00,700.53172303,96.5554385078,274.777805579,0.0,46.0930336215,113.312780494,576.724531372,553.599716978,5.66466996096,17.4601444339
 01/03  02:00:00,699.475779572,96.5554385078,273.824527551,0.0,46.0930336215,113.312780494,584.762078917,561.637308108,5.66466996096,17.4601008476
 01/03  03:00:00,706.140257258,96.5554385078,279.512980753,0.0,46.0930336215,113.312780494,587.132982546,564.008338094,5.66466996096,17.4599744903
 01/03  04:00:00,708.412695393,96.5554385078,277.988322604,0.0,46.0930336215,113.312780494,598.201811182,575.077312598,5.66466996096,17.4598286235
 01/03  05:00:00,791.771309713,96.5554385078,263.594792477,0.0,100.150657288,148.969399434,591.501247734,568.376878219,5.66466996096,17.4596995543
 01/03  06:00:00,780.251867108,96.5554385078,245.027467667,0.0,100.150657288,149.894399434,1026.49455491,994.873321106,14.1616749024,17.4595589061
 01/03  07:00:00,990.515768021,96.7578820891,225.113303681,0.0,176.471037341,302.612436532,721.532317022,675.749560455,28.3233498048,17.4594067621
 01/03  08:00:00,1093.60874815,97.0615117549,215.972274257,0.0,243.2593065,310.10971186,694.550127402,625.574107503,42.4850247072,26.4909951911
 01/03  09:00:00,1118.86649984,97.1902903996,202.89880762,0.0,243.2593065,310.10971186,708.871012567,616.694429943,56.6466996096,35.5298830144
 01/03  10:00:00,1143.93225271,97.2886237592,194.260295152,0.0,243.2593065,302.612436532,698.52852797,611.408397404,42.4850247072,44.6351058589
 01/03  11:00:00,1154.93630209,97.3737602842,197.908332429,0.0,243.2593065,310.10971186,698.662072085,582.905783596,70.808374512,44.9479139766
 01/03  12:00:00,1163.0380514,97.4729382508,206.318034098,0.0,243.2593065,310.10971186,680.70545401,555.821758595,70.808374512,54.0753209034
 01/03  13:00:00,1130.04066267,97.6896776618,215.312612949,0.0,243.2593065,310.10971186,638.532591413,531.915032631,70.808374512,35.8091842701
 01/03  14:00:00,1168.0487144,97.9128479739,219.260705018,0.0,243.2593065,302.612436532,630.873877799,520.149648102,56.6466996096,54.0775300874
 01/03  15:00:00,1168.94774529,98.1340297417,219.99973181,0.0,243.2593065,302.612436532,600.639054356,513.195637152,42.4850247072,44.9583924966
 01/03  16:00:00,1169.75969963,98.4432972211,220.436930942,0.0,243.2593065,302.612436532,617.186275028,506.722985848,56.6466996096,53.8165895698
 01/03  17:00:00,1186.44079718,98.750262481,220.570733782,0.0,243.2593065,310.10971186,621.787434043,501.187607205,84.9700494144,35.6297774231
 01/03  18:00:00,1191.45462334,99.0461379327,220.649334431,0.0,243.2593065,310.10971186,609.099252141,497.742386653,84.9700494144,26.3868160739
 01/03  19:00:00,927.070542754,96.5554385078,220.859236711,0.0,166.938926447,199.110933808,594.288457973,491.795415141,84.9700494144,17.5229934175
 01/03  20:00:00,917.551054094,96.5554385078,220.668835234,0.0,166.938926447,191.61365848,583.582020175,500.66104983,56.6466996096,26.274270736
 01/03  21:00:00,779.984628813,96.5554385078,220.374215683,0.0,100.150657288,124.558693486,622.37097133,548.199974061,56.6466996096,17.5242976591
 01/03  22:00:00,739.855477667,96.5554385078,220.285460465,0.0,100.150657288,124.558693486,618.409183466,558.458232195,42.4850247072,17.4659265642
 01/03  23:00:00,675.41731312,96.5554385078,220.384769247,0.0,46.0930336215,124.558693486,627.760328038,581.977863538,28.3233498048,17.4591146953
 01/03  24:00:00,678.864423292,96.5554385078,220.68118825,0.0,46.0930336215,124.558693486,622.755468109,591.134819922,14.1616749024,17.4589732844
 01/04  01:00:00,667.536681219,96.5554385078,220.776345396,0.0,46.0930336215,113.312780494,622.493218432,599.367562362,5.66466996096,17.4609861087
 01/04  02:00:00,667.54162577,96.5554385078,220.666207652,0.0,46.0930336215,113.312780494,630.115855938,606.992033425,5.66466996096,17.4591525523
 01/04  03:00:00,667.625066834,96.5554385078,220.69987811,0.0,46.0930336215,113.312780494,638.760659244,615.636897818,5.66466996096,17.4590914654
 01/04  04:00:00,662.492099551,96.5554385078,215.609170927,0.0,46.0930336215,113.312780494,656.596199864,633.472530224,5.66466996096,17.4589996795
 01/04  05:00:00,746.755543773,96.5554385078,211.954069108,0.0,100.150657288,148.969399434,640.368646714,617.245075976,5.66466996096,17.4589007769
 01/04  06:00:00,748.189569607,96.7074708357,211.665759076,0.0,100.150657288,149.894399434,981.234174954,949.61040255,14.1616749024,17.462097502
 01/04  07:00:00,976.416566048,97.4078944206,215.962504533,0.0,176.471037341,302.612436532,690.370305548,644.587402481,28.3233498048,17.4595532628
 01/04  08:00:00,1089.19826208,97.8109020916,218.981801832,0.0,243.2593065,310.10971186,656.820316894,587.851892619,42.4850247072,26.4833995673
 01/04  09:00:00,1132.6925186,98.1871058476,225.399935097,0.0,243.2593065,310.10971186,649.310138857,557.118496637,56.6466996096,35.5449426107
 01/04  10:00:00,1176.68523687,98.5977097366,235.044632617,0.0,243.2593065,302.612436532,623.854124062,536.742593436,42.4850247072,44.6265059182
 01/04  11:00:00,1187.08376655,98.9720896119,239.223231919,0.0,243.2593065,310.10971186,631.401596818,515.634948234,70.808374512,44.9582740727
