Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,156.383698442,30.955271254,32.0936996725,0.0,34.4311606118,33.1021868926,164.621703723,37.9634594844,3.33212,123.326124239
 01/01  02:00:00,165.022996,30.955271254,40.7345045357,0.0,34.4311606118,33.1021868926,127.736077201,30.1676833604,3.33212,94.2362738404
 01/01  03:00:00,148.356697293,30.955271254,41.5956637781,0.0,19.466279405,30.610668775,123.185487388,25.6399160548,3.33212,94.2134513333
 01/01  04:00:00,148.140799748,30.955271254,41.4120501771,0.0,19.466279405,30.610668775,120.145733105,22.598266258,3.33212,94.2153468468
 01/01  05:00:00,156.996202513,30.955271254,43.6921389027,0.0,19.466279405,30.610668775,147.249411078,20.7575541394,3.33212,123.159736939
 01/01  06:00:00,172.530024469,30.955271254,46.9744873688,0.0,19.466279405,30.610668775,188.861024727,19.368685786,8.3303,161.162038941
 01/01  07:00:00,304.053909625,34.3331250413,100.819921242,0.0,42.6918050922,54.3732441037,252.071888376,18.3739974942,16.6606,217.037290882
 01/01  08:00:00,322.649252442,35.8096134006,73.1604141957,0.0,49.3960418185,88.5934452969,514.107055907,119.201881943,24.9909,369.914273964
 01/01  09:00:00,390.571167747,35.7807766643,118.404430186,0.0,57.6566862989,112.030105488,638.83310389,76.3585959241,33.3212,529.153307966
 01/01  10:00:00,348.794152718,36.3634254809,132.308764621,0.0,50.9524495726,81.1684271793,481.02503331,33.3438117556,66.8089,380.872321554
 01/01  11:00:00,299.916917757,36.4562507786,128.274048427,0.0,42.6918050922,68.9656133826,389.937030502,15.1313200416,83.4695,291.33621046
 01/01  12:00:00,311.378827757,36.504548868,143.235617282,0.0,38.286128036,68.9656133826,314.857346699,4.90650933645,83.4695,226.481337362
 01/01  13:00:00,310.105521069,36.5442258128,142.492923464,0.0,38.286128036,68.9656133826,255.983943265,2.60667780461,83.4695,169.90776546
 01/01  14:00:00,292.053239594,36.5767737271,143.373890301,0.0,31.5818913096,56.727595265,242.066494511,3.83661878609,75.1392,163.090675724
 01/01  15:00:00,291.341667502,36.6072380402,142.638674772,0.0,31.5818913096,56.727595265,240.172823895,3.97821649777,66.8089,169.385707397
 01/01  16:00:00,291.33066682,36.6348256187,142.644089681,0.0,31.5818913096,56.727595265,242.111507436,4.37284701751,75.1392,162.599460418
 01/01  17:00:00,320.826926675,36.3320120591,143.571454469,0.0,31.5818913096,61.661095265,226.688501019,4.92558663395,91.7998,129.963114385
 01/01  18:00:00,346.233931243,35.7807766643,131.063317239,0.0,31.5818913096,70.9729253606,221.062628134,16.1925537435,49.9818,154.888274391
 01/01  19:00:00,396.204544427,35.8064126971,113.826443253,0.0,80.3315023541,83.7685254822,269.547741716,23.9685443477,49.9818,195.597397369
 01/01  20:00:00,405.920924954,35.7807766643,119.56833099,0.0,102.000620287,77.6748002752,322.945648656,42.0580428856,33.3212,247.56640577
 01/01  21:00:00,425.718673675,35.7807766643,118.730417588,0.0,108.704857014,91.4735406516,375.653680618,94.0842662972,33.3212,248.248214321
 01/01  22:00:00,392.178236603,35.7807766643,113.099000403,0.0,95.2963835608,89.1510273009,486.923240524,208.304987744,24.9909,253.62735278
 01/01  23:00:00,332.773961592,35.7807766643,106.368139002,0.0,80.3315023541,63.3799339444,616.600483365,231.547507477,16.6606,368.392375888
 01/01  24:00:00,246.032839031,35.7807766643,84.1082659366,0.0,42.6918050922,48.4199368926,407.819955581,184.469795244,8.3303,215.019860336
