Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,155.10002147,30.9576751157,30.9269029652,0.0732152955741,34.4311606118,33.1021868926,216.773749587,66.6443128406,3.33212,146.797316746
 01/01  02:00:00,144.581310742,30.9710533253,20.2584233567,0.179982754372,34.4311606118,33.1021868926,180.558761224,61.868890171,3.33212,115.357751053
 01/01  03:00:00,123.780492408,30.9710533253,16.8311160211,0.283479119062,19.466279405,30.610668775,178.696241601,60.0313626639,3.33212,115.332758937
 01/01  04:00:00,122.143810792,30.9710533253,15.0479547744,0.439978018981,19.466279405,30.610668775,172.908558429,59.4244697477,3.33212,110.151968681
 01/01  05:00:00,130.054269777,30.9710533253,16.2288373816,0.597659361038,19.466279405,30.610668775,214.741204151,59.4724473789,3.33212,151.936636772
 01/01  06:00:00,144.307992912,30.9710533253,18.1104765795,0.725391407421,19.466279405,30.610668775,255.867393397,59.6336512186,8.3303,187.903442178
 01/01  07:00:00,225.04187233,30.9710533253,27.343733198,0.676003500406,42.6918050922,54.3732441037,343.297296724,59.1333982983,16.6606,267.503298426
 01/01  08:00:00,298.331808836,35.8006083345,52.2667137542,0.0,49.3960418185,88.5934452969,821.742179014,351.950715128,24.9909,444.800563885
 01/01  09:00:00,360.694956054,35.7886361787,88.4679331948,0.0,57.6566862989,112.030105488,1050.49412773,388.519573194,33.3212,628.653354535
 01/01  10:00:00,300.376086865,35.8148480954,84.2090897492,0.114068524614,50.9524495726,81.1684271793,869.86250298,345.737470755,66.8089,457.316132225
 01/01  11:00:00,245.604412523,35.8788683818,74.3958215144,0.166244956646,42.6918050922,68.9656133826,743.896901681,319.359493394,83.4695,341.067908287
 01/01  12:00:00,235.664339077,35.9877394005,68.071750418,0.196876880569,38.286128036,68.9656133826,668.373711686,307.281698218,83.4695,277.622513468
 01/01  13:00:00,217.216541401,36.0863804317,50.4808736963,0.154322526138,38.286128036,68.9656133826,580.089092013,299.459286916,83.4695,197.160305097
 01/01  14:00:00,191.758316223,36.19601559,43.5777877065,0.461001565564,31.5818913096,56.727595265,573.443549389,301.167876578,75.1392,197.136472811
 01/01  15:00:00,189.278405354,36.2392739183,41.287013814,0.243164350469,31.5818913096,56.727595265,563.387160609,300.13063313,66.8089,196.447627479
 01/01  16:00:00,185.72451888,36.276671279,37.4572495852,0.501225594294,31.5818913096,56.727595265,575.034723141,303.439038217,75.1392,196.456484925
 01/01  17:00:00,222.062003408,36.0307968189,34.1288731854,0.0,31.5818913096,61.661095265,539.570086426,297.878768191,91.7998,149.891518235
 01/01  18:00:00,262.139674652,35.7913118206,41.0914522638,0.0329832189131,31.5818913096,70.9729253606,541.447460532,299.002534949,49.9818,192.463125583
 01/01  19:00:00,334.974316671,35.808703493,51.931117114,0.286214526653,80.3315023541,83.7685254822,580.465420902,303.846952676,49.9818,226.636668226
 01/01  20:00:00,351.648292382,35.7953252835,64.8689420768,0.11977326441,102.000620287,77.6748002752,627.916840511,290.394208058,33.3212,304.201432453
 01/01  21:00:00,381.020187074,35.7953252835,73.7118451359,0.132458455669,108.704857014,91.4735406516,608.604870671,275.750668604,33.3212,299.533002068
 01/01  22:00:00,353.989669719,35.8020143883,74.7204202479,0.260194137141,95.2963835608,89.1510273009,596.08493952,271.388711568,24.9909,299.705327952
 01/01  23:00:00,298.641512467,35.808703493,72.5085614629,0.275967320313,80.3315023541,63.3799339444,735.663151675,276.388551943,16.6606,442.613999732
 01/01  24:00:00,211.6257821,35.8220817026,49.8339742926,0.272815989383,42.6918050922,48.4199368926,556.695102478,291.426529846,8.3303,256.938272632
 01/02  01:00:00,147.401253335,30.9309186967,34.7585345299,0.0,25.5240853573,30.610668775,220.928061729,64.3537866453,3.33212,153.242155084
 01/02  02:00:00,132.294477554,30.9309186967,26.9819606128,0.0,19.418418834,29.3649097162,166.258663255,54.1361552364,3.33212,108.790388019
 01/02  03:00:00,121.433083496,30.9309186967,24.0253080075,0.0,12.7620426787,28.1191506574,167.473075645,48.9387111394,3.33212,115.202244505
 01/02  04:00:00,120.248336239,30.9309186967,22.848805488,0.0,12.7620426787,28.1191506574,158.702094946,46.5968343297,3.33212,108.773140616
 01/02  05:00:00,129.384718524,30.9309186967,25.4046493579,0.0,12.7620426787,28.1191506574,201.555981336,44.9439719399,3.33212,153.279889396
 01/02  06:00:00,166.424110984,30.9309186967,34.8209719586,0.0,25.5240853573,30.610668775,309.079282375,43.1540516668,8.3303,257.594930709
 01/02  07:00:00,293.555138708,30.9309186967,64.1584586514,0.0,51.0481707146,78.1489452969,502.03456698,39.9135691531,16.6606,445.460397827
 01/02  08:00:00,369.986218327,35.818279073,87.7722282873,0.0,64.3609230253,109.708623606,835.471471888,215.081322877,24.9909,595.399249011
 01/02  09:00:00,296.974437469,35.8020143883,62.778346239,0.206630458381,51.0481707146,80.7689615957,739.999473138,251.644249246,33.3212,455.034023892
 01/02  10:00:00,258.086427032,36.1738482054,51.6725601451,0.326339541069,51.0481707146,71.0224615957,661.161448588,253.004457418,66.8089,341.34809117
 01/02  11:00:00,196.558559315,36.3196057764,39.0449141604,0.0368660136551,32.1804615127,65.7244621605,621.453250216,263.177911303,83.4695,274.805838913
 01/02  12:00:00,191.909477224,36.4087287054,33.6820456881,0.0,32.1804615127,65.7244621605,544.37974643,263.325636676,83.4695,197.584609753
 01/02  13:00:00,191.406019,36.4415466819,33.9090114953,0.0,32.1804615127,65.7244621605,543.376870286,262.684387087,83.4695,197.222983199
 01/02  14:00:00,180.820607497,36.3630194229,33.1136033628,0.0,32.1804615127,55.9779621605,544.638694574,272.637006535,75.1392,196.862488039
 01/02  15:00:00,178.64727205,36.2834360433,31.0119663157,0.0,32.1804615127,55.9779621605,553.382409779,290.038991583,66.8089,196.534518196
 01/02  16:00:00,177.649736908,36.344604821,29.9779996653,0.0,32.1804615127,55.9779621605,561.913187695,290.228301961,75.1392,196.545685734
 01/02  17:00:00,217.273926119,36.1524023183,29.3883187942,0.0,32.1804615127,60.9114621605,512.275523549,266.758329588,91.7998,153.717393961
 01/02  18:00:00,269.663692484,35.7886361787,41.4522749284,0.0,32.1804615127,77.5397301883,539.832700276,263.917464528,49.9818,225.933435748
 01/02  19:00:00,343.061397702,35.7886361787,60.8326278332,0.0,77.122965704,86.2600435998,728.574859071,266.310222333,49.9818,412.282836738
 01/02  20:00:00,350.767726675,35.7886361787,60.9623373409,0.0,102.647051061,80.1663183927,585.496184918,246.493199646,33.3212,305.681785272
 01/02  21:00:00,383.004525291,35.7886361787,67.8719684017,0.0,115.40909374,92.7192997104,569.536708489,231.737023718,33.3212,304.478484771
 01/02  22:00:00,373.913461077,35.7886361787,82.5311511312,0.0,102.647051061,94.1340635361,684.212481334,212.666249432,24.9909,446.555331902
 01/02  23:00:00,289.956871653,35.7886361787,64.9225972532,0.0,77.122965704,65.871452062,594.13847977,241.655825029,16.6606,335.822054741
 01/02  24:00:00,199.831932394,35.7886361787,42.8351512691,0.0,38.286128036,48.4199368926,458.038062852,262.064729566,8.3303,187.643033286
 01/03  01:00:00,147.102441703,30.9309186967,34.4222287162,0.0,25.5240853573,30.610668775,214.165468885,58.9703218314,3.33212,151.863027053
 01/03  02:00:00,138.977624343,30.9309186967,33.6122002424,0.0,19.418418834,29.3649097162,162.44013029,48.8931976894,3.33212,110.214812601
 01/03  03:00:00,146.543751312,30.9309186967,49.0092833251,0.0,12.7620426787,28.1191506574,162.38945569,43.8394299257,3.33212,115.217905764
 01/03  04:00:00,138.132520644,30.9309186967,40.6173199056,0.0,12.7620426787,28.1191506574,153.524559815,41.3810469654,3.33212,108.81139285
