Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,88.6247681071,21.5516241529,12.9282692705,0.0652698939994,4.12243109448,15.9888894789,94.0222366934,91.0305062755,2.97173041782,0.02
 01/02  02:00:00,84.4483179457,18.6390893093,12.1117433048,0.653504909143,4.12243109448,15.9888894789,80.6630141415,77.6712837236,2.97173041782,0.02
 01/02  03:00:00,97.6367870725,23.2988616366,14.3586101284,1.5592454907,4.12243109448,15.9888894789,101.981395532,98.9896651145,2.97173041782,0.02
 01/02  04:00:00,92.0535100365,19.7118301227,13.9177567381,4.59919281468,4.12243109448,15.9888894789,82.3874279413,79.3956975235,2.97173041782,0.02
 01/02  05:00:00,128.671930983,28.3877302893,16.6297430388,3.84944552803,12.3672932834,24.9413748627,116.922663751,111.949779722,4.9528840297,0.02
 01/02  06:00:00,161.725812995,28.8715855022,23.5763848589,31.2774628214,12.3672932834,24.9413748627,185.864591094,180.891707064,4.9528840297,0.02
 01/02  07:00:00,203.73954289,29.3530078825,14.8421767965,24.3004926692,24.7345865669,70.7195625826,162.032136398,152.106368339,9.90576805939,0.02
 01/02  08:00:00,220.393056929,29.4713178005,14.8797907499,17.7100686151,37.1018798503,92.3937384068,141.995794995,132.070026936,9.90576805939,0.02
 01/02  09:00:00,217.568193074,29.5563081041,17.1433092314,13.4211153453,37.1018798503,104.434947198,126.815768469,116.89000041,9.90576805939,0.02
 01/02  10:00:00,226.09998475,29.6483668994,20.9609204384,9.62057229577,37.1018798503,116.476155989,127.891886452,109.358481091,9.90576805939,8.62763730198
 01/02  11:00:00,228.13622294,29.7833337041,25.3495361537,7.54752519921,37.1018798503,116.476155989,113.455153296,103.529385237,9.90576805939,0.02
 01/02  12:00:00,232.22539357,30.0329066526,29.1655957835,6.10715314418,37.1018798503,116.476155989,117.235336412,98.6974393967,9.90576805939,8.63212895603
 01/02  13:00:00,224.087679186,30.3207362404,32.7846957476,4.99759889578,37.1018798503,104.434947198,104.937509861,95.0117418016,9.90576805939,0.02
 01/02  14:00:00,239.194307495,30.5888266607,36.6405281095,3.91428249962,37.1018798503,116.476155989,102.020051932,92.0942838726,9.90576805939,0.02
 01/02  15:00:00,242.324815015,30.7602739798,39.7826387534,2.83488134763,37.1018798503,116.476155989,108.513837915,89.975741885,9.90576805939,8.63232797038
 01/02  16:00:00,242.037947078,30.8326925651,41.75545824,1.94072010919,37.1018798503,116.476155989,98.5774867333,88.651718674,9.90576805939,0.02
 01/02  17:00:00,240.963283258,30.7101967531,40.6093636856,1.59608395095,37.1018798503,116.476155989,107.530808304,88.9986374297,9.90576805939,8.62640281512
 01/02  18:00:00,248.170902987,30.4025213343,36.2119397171,1.59330201658,37.1018798503,116.476155989,101.313033151,91.3872650917,9.90576805939,0.02
 01/02  19:00:00,160.968908097,27.8513598826,26.4344118084,0.0,24.7345865669,47.5788473902,76.084834004,71.1119499743,4.9528840297,0.02
 01/02  20:00:00,162.683739815,28.602278452,27.4723845455,0.0,24.7345865669,47.5788473902,82.7394717819,77.7665877522,4.9528840297,0.02
 01/02  21:00:00,131.413873178,26.6713449878,17.4660057255,0.0,12.3672932834,38.6892022431,97.2572293852,94.2654989674,2.97173041782,0.02
 01/02  22:00:00,112.827961129,21.7353201335,18.8912287132,0.0,12.3672932834,27.0668015668,91.5703868547,79.9932440104,2.97173041782,8.60541242653
 01/02  23:00:00,79.3652040322,17.7808966585,11.6033352395,0.0,4.12243109448,15.9888894789,75.6779122724,72.6861818546,2.97173041782,0.02
 01/02  24:00:00,95.3349970042,23.2988616366,18.2958009081,0.214563459593,4.12243109448,15.9888894789,97.0707001367,94.0789697188,2.97173041782,0.02
 01/03  01:00:00,80.4590580707,18.1241737188,12.7497194628,0.107468509322,4.12243109448,15.9888894789,79.513299158,76.5215687401,2.97173041782,0.02
 01/03  02:00:00,94.9574792154,23.0843134739,17.3408958887,0.533594258808,4.12243109448,15.9888894789,99.9371561058,96.9454256879,2.97173041782,0.02
 01/03  03:00:00,84.2888971407,18.8965471045,14.8543838063,1.21131123226,4.12243109448,15.9888894789,81.3633648354,78.3716344176,2.97173041782,0.02
 01/03  04:00:00,94.3821027464,23.0843134739,16.0364119207,1.50065359073,4.12243109448,15.9888894789,102.565536235,99.573805817,2.97173041782,0.02
 01/03  05:00:00,122.801209129,28.1016660724,19.3903921998,1.94568055573,12.3672932834,24.9413748627,115.337846815,110.364962785,4.9528840297,0.02
 01/03  06:00:00,156.389064208,28.8921647024,25.3826986808,27.726311542,12.3672932834,24.9413748627,184.653382172,179.680498142,4.9528840297,0.02
 01/03  07:00:00,198.860808975,29.3729402567,17.0277022281,21.5271759089,24.7345865669,70.7195625826,153.740724466,143.814956406,9.90576805939,0.02
 01/03  08:00:00,216.890869068,29.5210795065,16.6503220626,15.490615758,37.1018798503,92.3937384068,132.731371962,122.805603903,9.90576805939,0.02
 01/03  09:00:00,216.250050463,29.6121195372,19.754599009,11.8680565499,37.1018798503,104.434947198,124.76678244,114.841014381,9.90576805939,0.02
 01/03  10:00:00,225.48112107,29.6946759212,26.1082303936,8.71075307405,37.1018798503,116.476155989,127.547576916,109.014113802,9.90576805939,8.62769505536
 01/03  11:00:00,224.246094579,29.8202587407,32.5153936649,6.63003018856,37.1018798503,116.476155989,113.803683738,103.877915678,9.90576805939,0.02
 01/03  12:00:00,228.049141175,30.1191205379,38.6984420798,4.94986575929,37.1018798503,116.476155989,117.211937541,98.6722403646,9.90576805939,8.63392911732
 01/03  13:00:00,219.959774087,30.4096491761,43.371431983,3.7208659892,37.1018798503,104.434947198,104.852798348,94.9270302889,9.90576805939,0.02
 01/03  14:00:00,233.647852985,30.6650856406,46.0978380226,2.60320805622,37.1018798503,116.476155989,110.838789497,92.2990990162,9.90576805939,8.63392242109
 01/03  15:00:00,233.203484458,30.8624358618,46.2938539638,1.7657539429,37.1018798503,116.476155989,100.328276324,90.402508265,9.90576805939,0.02
 01/03  16:00:00,231.872071855,30.9848465927,45.2051963294,1.40073121057,37.1018798503,116.476155989,102.777431853,88.7954281182,9.90576805939,4.07623567535
 01/03  17:00:00,229.021851139,30.9035046237,42.5815679397,1.25611326858,37.1018798503,116.476155989,103.347289062,88.8710908582,9.90576805939,4.57043014421
