Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,93.2792301962,23.0243499409,6.47597677918,7.28457764288,4.12243109448,15.9888894789,96.6558371929,93.6641067751,2.97173041782,0.02
 01/02  02:00:00,89.4968895502,19.4025978867,4.84715542484,8.46499516179,4.12243109448,15.9888894789,83.5977812652,80.6060508473,2.97173041782,0.02
 01/02  03:00:00,106.01388432,24.2532473583,6.35860851906,12.2216143983,4.12243109448,15.9888894789,105.200916086,102.209185669,2.97173041782,0.02
 01/02  04:00:00,92.3944120739,19.4025978867,5.02633120829,10.8295278562,4.12243109448,15.9888894789,85.6365531137,82.6448226958,2.97173041782,0.02
 01/02  05:00:00,132.228160058,28.6726176248,8.56634280647,11.6519277958,12.3672932834,24.9413748627,120.83368937,115.860805341,4.9528840297,0.02
 01/02  06:00:00,159.477770486,28.2576239031,12.5528408544,36.4809613321,12.3672932834,24.9413748627,187.505044676,182.532160647,4.9528840297,0.02
 01/02  07:00:00,215.95652371,29.1791403794,13.0998597099,34.7818556401,24.7345865669,70.7195625826,167.562320695,157.636552635,9.90576805939,0.02
 01/02  08:00:00,228.323449819,29.2462407338,13.3214936843,24.9816384696,37.1018798503,92.3937384068,147.151995188,137.226227129,9.90576805939,0.02
 01/02  09:00:00,229.81760968,29.2700046034,13.6769804704,21.7896162264,37.1018798503,104.434947198,139.680967354,129.755199295,9.90576805939,0.02
 01/02  10:00:00,238.459975772,29.2966712523,14.2796765007,19.1969486717,37.1018798503,116.476155989,142.162307525,123.624986697,9.90576805939,8.63155276862
 01/02  11:00:00,236.627783939,29.3223121293,15.1425313233,16.9989297627,37.1018798503,116.476155989,127.261472808,117.335704748,9.90576805939,0.02
 01/02  12:00:00,234.740928722,29.3544110029,15.5781021139,14.9579766399,37.1018798503,116.476155989,130.669689144,112.123439732,9.90576805939,8.64048135275
 01/02  13:00:00,221.123066169,29.3946859773,15.5792413287,13.3388954685,37.1018798503,104.434947198,119.175707267,109.249939208,9.90576805939,0.02
 01/02  14:00:00,224.890587478,29.4286826166,14.6157445991,12.3461562549,37.1018798503,116.476155989,128.854180984,110.307782933,9.90576805939,8.64062999173
 01/02  15:00:00,220.950560296,29.4521852819,13.5634452675,11.7728273454,37.1018798503,116.476155989,131.825777063,113.281475861,9.90576805939,8.63853314334
 01/02  16:00:00,220.582286046,29.4733335902,14.0117060474,11.2969764115,37.1018798503,116.476155989,121.014655532,111.088887473,9.90576805939,0.02
 01/02  17:00:00,229.641901322,29.4870313836,14.5047145806,11.2221067312,37.1018798503,116.476155989,126.667678988,108.13054601,9.90576805939,8.63136491869
 01/02  18:00:00,234.801282654,29.4955623813,13.8035527265,11.3121331339,37.1018798503,116.476155989,119.659707159,109.7339391,9.90576805939,0.02
 01/02  19:00:00,140.51923713,27.8100592145,10.6704571287,0.0544621020066,24.7345865669,47.5788473902,87.6898401281,82.7169560984,4.9528840297,0.02
 01/02  20:00:00,141.642786372,28.0975786846,11.1019664957,0.199147121769,24.7345865669,47.5788473902,91.8777773386,86.9048933089,4.9528840297,0.02
 01/02  21:00:00,120.00891735,26.9475008042,11.5908919208,0.371764171118,12.3672932834,38.6892022431,104.524664314,101.532933897,2.97173041782,0.02
 01/02  22:00:00,99.4504415727,22.2480473716,10.1388850282,1.30301333065,12.3672932834,27.0668015668,89.8160762643,86.8243458465,2.97173041782,0.02
 01/02  23:00:00,71.2023785189,17.6774810661,7.79493239999,0.0,4.12243109448,15.9888894789,79.5519165338,76.560186116,2.97173041782,0.02
 01/02  24:00:00,87.4643037286,23.6063285506,9.02692126821,4.33413561309,4.12243109448,15.9888894789,101.377188879,98.3854584617,2.97173041782,0.02
 01/03  01:00:00,81.9668797873,19.8338770918,7.01053838062,8.19667510642,4.12243109448,15.9888894789,90.455510288,78.8836323206,2.97173041782,8.6001475496
 01/03  02:00:00,90.7653415826,23.8219681532,8.8848590573,7.79230736689,4.12243109448,15.9888894789,103.363268298,100.37153788,2.97173041782,0.02
 01/03  03:00:00,84.9034163788,19.8338770918,7.18813459465,11.0434755044,4.12243109448,15.9888894789,83.8365145159,80.8447840981,2.97173041782,0.02
 01/03  04:00:00,94.3892249475,23.8219681532,9.04468520423,9.89099597917,4.12243109448,15.9888894789,105.363813331,102.372082914,2.97173041782,0.02
 01/03  05:00:00,123.68113156,28.6726176248,9.44443822937,10.2574792195,12.3672932834,24.9413748627,119.027432715,114.054548686,4.9528840297,0.02
 01/03  06:00:00,153.375694719,28.2645702835,11.8817200493,34.3843089882,12.3672932834,24.9413748627,187.291920669,182.31903664,4.9528840297,0.02
 01/03  07:00:00,212.414179458,29.1713327861,11.0597930375,33.8239199625,24.7345865669,70.7195625826,174.417014819,164.491246759,9.90576805939,0.02
 01/03  08:00:00,225.570573263,29.2432691691,10.6039910825,24.5652788312,37.1018798503,92.3937384068,157.314136575,147.388368516,9.90576805939,0.02
 01/03  09:00:00,228.187567037,29.2674789787,9.95930574205,21.6850904072,37.1018798503,104.434947198,152.654455085,142.728687025,9.90576805939,0.02
 01/03  10:00:00,237.61763298,29.2899998509,9.49824473864,19.5162646639,37.1018798503,116.476155989,159.413362014,140.876094724,9.90576805939,8.63149923115
 01/03  11:00:00,235.468953248,29.3142239398,9.79516625635,17.5260773964,37.1018798503,116.476155989,146.634488619,136.70872056,9.90576805939,0.02
 01/03  12:00:00,233.710073987,29.3453729139,10.3577881927,15.8118311221,37.1018798503,116.476155989,150.375736556,131.829450128,9.90576805939,8.6405183686
 01/03  13:00:00,221.616554023,29.3843362999,10.901607401,14.4005785022,37.1018798503,104.434947198,137.002351818,127.076583759,9.90576805939,0.02
 01/03  14:00:00,231.369686174,29.4193435482,11.1138465056,13.3159651725,37.1018798503,116.476155989,142.279596264,123.733113562,9.90576805939,8.64071464295
 01/03  15:00:00,230.930528723,29.4449173672,11.1200729449,12.5859408897,37.1018798503,116.476155989,140.542889912,121.998550023,9.90576805939,8.63857182946
 01/03  16:00:00,230.488910956,29.4648934086,11.1145163673,12.1492618179,37.1018798503,116.476155989,130.597945318,120.672177258,9.90576805939,0.02
 01/03  17:00:00,239.330397544,29.4762191581,11.1076536488,12.2091237299,37.1018798503,116.476155989,138.62538159,120.088107877,9.90576805939,8.63150565377
 01/03  18:00:00,245.867151543,29.4842755789,11.1131358343,12.318157888,37.1018798503,116.476155989,129.620862181,119.695094122,9.90576805939,0.02
 01/03  19:00:00,150.876041425,27.6662994795,7.79225904234,0.0947339789469,24.7345865669,47.5788473902,88.5934997742,83.6206157445,4.9528840297,0.02
 01/03  20:00:00,150.827119723,28.0975786846,7.40921350281,0.412192999717,24.7345865669,47.5788473902,92.1380920184,87.1652079887,4.9528840297,0.02
 01/03  21:00:00,128.339604305,26.9475008042,7.33495426937,0.54331432725,12.3672932834,38.6892022431,104.984887864,101.993157446,2.97173041782,0.02
 01/03  22:00:00,107.200131524,22.3343032127,6.26850331662,2.24979501882,12.3672932834,27.0668015668,90.1957810248,87.204050607,2.97173041782,0.02
 01/03  23:00:00,84.5246284304,19.4025978867,5.21720727105,6.03232497806,4.12243109448,15.9888894789,79.848380079,76.8566496611,2.97173041782,0.02
 01/03  24:00:00,100.770493604,24.2532473583,6.6902818121,9.66811397529,4.12243109448,15.9888894789,101.842175089,98.850444671,2.97173041782,0.02
 01/04  01:00:00,88.7194354523,19.4025978867,5.18346707746,9.19852146138,4.12243109448,15.9888894789,89.6276176204,79.8839111147,2.97173041782,6.77197608783
 01/04  02:00:00,104.263619765,24.2532473583,6.61450877174,12.7697121611,4.12243109448,15.9888894789,106.323753623,101.503270475,2.97173041782,1.8487527305
 01/04  03:00:00,90.9930737691,19.4025978867,5.13820238973,11.5218962412,4.12243109448,15.9888894789,84.7812685028,81.789538085,2.97173041782,0.02
 01/04  04:00:00,106.515403098,24.2532473583,6.30186121711,15.2599532859,4.12243109448,15.9888894789,106.553174198,103.561443781,2.97173041782,0.02
 01/04  05:00:00,127.213271087,28.2413384197,6.79904544962,10.4292591406,12.3672932834,24.9413748627,120.299096301,115.326212271,4.9528840297,0.02
 01/04  06:00:00,168.042375601,28.6829204644,10.2911094485,47.3945843918,12.3672932834,24.9413748627,188.162079289,183.18919526,4.9528840297,0.02
 01/04  07:00:00,213.503270085,29.1604040722,10.8825565268,36.5056064549,24.7345865669,70.7195625826,176.393901432,166.468133373,9.90576805939,0.02
 01/04  08:00:00,224.537206666,29.2255427461,11.0959074551,26.5582228541,37.1018798503,92.3937384068,156.854325596,146.928557537,9.90576805939,0.02
