Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4671644552,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4719057329,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4566884517,0.0,0.0,0.0,15.863942322,29.242365,6.08836475288,0.0,3.20568,2.88268475288
 01/01  04:00:00,55.4445078572,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6562621741,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6487827673,0.0,0.0,0.0,15.863942322,29.242365,6.08842401901,0.0,3.20568,2.88274401901
 01/01  07:00:00,55.6555870468,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,51.2927403293,0.0,0.0,0.0,15.863942322,29.242365,6.08833516053,0.0,3.20568,2.88265516053
 01/01  09:00:00,47.0354586805,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0904397505,0.0,0.0,0.0,15.863942322,29.242365,6.08986282477,0.0,3.20568,2.88418282477
 01/01  11:00:00,47.1244908668,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.8364024237,0.0,0.0,0.0,15.863942322,29.242365,6.08978866409,0.0,3.20568,2.88410866409
 01/01  13:00:00,47.1690992111,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.2222189136,0.0,0.0,0.0,15.863942322,29.242365,6.08993853921,0.0,3.20568,2.88425853921
 01/01  15:00:00,47.2357599041,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.2304722314,0.0,0.0,0.0,15.863942322,29.242365,6.08832900153,0.0,3.20568,2.88264900153
 01/01  17:00:00,47.1303739988,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,52.8106743128,0.0,0.0,0.0,15.863942322,29.242365,6.08838835155,0.0,3.20568,2.88270835155
 01/01  19:00:00,55.6507725178,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.8489049002,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.7854822558,0.0,0.0,0.0,15.863942322,29.242365,6.08844762568,0.0,3.20568,2.88276762568
 01/01  22:00:00,55.6395030251,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4666427918,0.0,0.0,0.0,15.863942322,29.242365,6.08835878872,0.0,3.20568,2.88267878872
 01/01  24:00:00,56.1720635204,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4378590737,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4224024982,0.0,0.0,0.0,15.863942322,29.242365,6.08996051968,0.0,3.20568,2.88428051968
 01/02  03:00:00,55.4080942128,0.0,0.0,0.0,15.863942322,29.242365,6.08988943647,0.0,3.20568,2.88420943647
 01/02  04:00:00,55.3915365689,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.5995063185,0.0,0.0,0.0,15.863942322,29.242365,6.08981834359,0.0,3.20568,2.88413834359
 01/02  06:00:00,55.5904010753,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,64.8812541095,7.52053834074,0.00305782595285,0.0,15.863942322,29.818365,379.435747941,373.345774797,3.20568,2.88429314439
 01/02  08:00:00,125.121514693,7.52053834074,0.000987405394618,0.0,80.527626,29.818365,345.236837395,339.143398495,3.20568,2.88775890061
 01/02  09:00:00,166.039197808,7.52053834074,0.00788299400526,0.0,80.527626,75.0917375,240.493430393,207.772166223,24.0426,8.67866416989
 01/02  10:00:00,165.804067373,7.52053834074,0.003676835428,0.0,80.527626,75.0917375,177.068319632,135.564887211,24.0426,17.4608324217
