Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.9452229295,3.56852041864,0.0,0.0,15.863942322,29.242365,78.4937877887,75.2681077887,3.20568,0.02
 01/01  02:00:00,59.7801004841,4.39193750881,0.0,0.0,15.863942322,29.242365,112.173946737,108.948266737,3.20568,0.02
 01/01  03:00:00,60.0589199468,4.64749885094,0.0,0.0,15.863942322,29.242365,125.361029745,119.272173831,3.20568,2.883175914
 01/01  04:00:00,60.448902598,5.0520904477,0.0,0.0,15.863942322,29.242365,120.837861874,117.612181874,3.20568,0.02
 01/01  05:00:00,60.1765365628,4.53013832847,0.0,0.0,15.863942322,29.242365,141.656053406,135.567192984,3.20568,2.8831804222
 01/01  06:00:00,60.8086966186,5.19879110079,0.0,0.0,15.863942322,29.242365,130.105629676,126.879949676,3.20568,0.02
 01/01  07:00:00,60.3850678928,4.71351414483,0.0,0.0,15.863942322,29.242365,155.332953098,149.24411066,3.20568,2.88316243834
 01/01  08:00:00,54.8676710213,5.0520904477,0.000497116365937,0.0,15.863942322,29.242365,105.105796471,101.880116471,3.20568,0.02
 01/01  09:00:00,50.5540745243,3.59826560893,0.0,0.0,15.863942322,29.242365,81.1627954407,75.0721426833,3.20568,2.88497275743
 01/01  10:00:00,50.4483708559,3.50350036206,0.0,0.0,15.863942322,29.242365,60.0053270409,56.7796470409,3.20568,0.02
 01/01  11:00:00,50.6678286453,3.74247926518,0.0,0.0,15.863942322,29.242365,59.0125843613,52.9220279862,3.20568,2.88487637516
 01/01  12:00:00,50.21732425,2.58546205867,0.0,0.0,15.863942322,29.242365,36.0802831017,29.9897176373,3.20568,2.88488546437
 01/01  13:00:00,48.5714908813,1.68285136883,0.0,0.0,15.863942322,29.242365,12.3160117173,9.09033171734,3.20568,0.02
 01/01  14:00:00,48.2697500922,1.34628109507,0.0,0.0,15.863942322,29.242365,10.9401406005,4.84956471768,3.20568,2.88489588286
 01/01  15:00:00,46.9318592673,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.815447056,0.891649750553,0.0,0.0,15.863942322,29.242365,8.36652519766,2.27776647122,3.20568,2.88307872644
 01/01  17:00:00,53.488923168,0.944382068471,0.0,0.0,15.863942322,29.242365,6.10745019582,2.88177019582,3.20568,0.02
 01/01  18:00:00,56.7619690425,1.3563692782,0.0,0.0,15.863942322,29.242365,11.0346645026,4.94585591111,3.20568,2.88312859153
 01/01  19:00:00,56.7528269784,1.34628109507,0.0,0.0,15.863942322,29.242365,9.536044137,6.310364137,3.20568,0.02
 01/01  20:00:00,57.0728106781,1.4517457309,0.0,0.0,15.863942322,29.242365,13.5980472708,7.5091883948,3.20568,2.88317887597
 01/01  21:00:00,57.1850594879,1.577386733,0.0,0.0,15.863942322,29.242365,12.0262933499,8.80061334994,3.20568,0.02
 01/01  22:00:00,58.1922801234,2.6909266945,0.0,0.0,15.863942322,29.242365,38.6785862629,32.589733685,3.20568,2.88317257791
 01/01  23:00:00,58.4418853146,3.09194124406,0.0,0.0,15.863942322,29.242365,43.5733071687,40.3476271687,3.20568,0.02
 01/01  24:00:00,59.6048741397,3.50948239069,0.0,0.0,15.863942322,29.242365,51.1544418385,47.9287618385,3.20568,0.02
 01/02  01:00:00,58.6599929218,3.2980934544,0.0,0.0,15.863942322,29.242365,57.1707015873,51.0800787846,3.20568,2.88494280269
 01/02  02:00:00,59.2942912718,3.92954073271,0.0,0.0,15.863942322,29.242365,69.3528106197,63.2621743115,3.20568,2.88495630827
 01/02  03:00:00,59.0250836633,3.65857561718,0.0,0.0,15.863942322,29.242365,65.9701933498,62.7445133498,3.20568,0.02
 01/02  04:00:00,59.4382291242,4.07082100441,0.0,0.0,15.863942322,29.242365,76.0986444167,70.0079948322,3.20568,2.88496958447
 01/02  05:00:00,59.2764452291,3.69659080858,0.0,0.0,15.863942322,29.242365,69.1142914338,63.0236287101,3.20568,2.88498272371
 01/02  06:00:00,59.6349814841,4.07082100441,0.0,0.0,15.863942322,29.242365,68.6057762867,65.3800962867,3.20568,0.02
 01/02  07:00:00,66.2845479838,7.43082727185,0.00406614095174,0.0,15.863942322,29.818365,805.825164227,799.734527123,3.20568,2.88495710333
 01/02  08:00:00,124.426225613,7.43082727185,0.000506446341037,0.0,80.527626,29.818365,434.513883365,428.41952534,3.20568,2.88867802503
 01/02  09:00:00,166.409559612,7.43082727185,0.00607903009518,0.0,80.527626,75.0917375,342.088727606,306.462705696,24.0426,11.5834219091
 01/02  10:00:00,166.181101418,7.43082727185,0.00278870114938,0.0,80.527626,75.0917375,291.344964893,246.879843018,24.0426,20.4225218747
 01/02  11:00:00,169.887256501,7.43082727185,0.0035014300074,0.0,80.527626,79.0911225,262.678094121,207.259939303,32.0568,23.3613548184
 01/02  12:00:00,170.522733939,7.43082727185,0.0,0.0,80.527626,79.0911225,234.279891547,178.79652731,32.0568,23.4265642367
 01/02  13:00:00,169.768324678,7.43082727185,0.0,0.0,80.527626,79.0911225,233.419929323,174.949408882,32.0568,26.4137204414
 01/02  14:00:00,166.069693286,7.43082727185,0.0,0.0,80.527626,75.0917375,257.306727399,214.83290347,16.0284,26.4454239295
 01/02  15:00:00,166.386333279,7.43082727185,0.0,0.0,80.527626,75.0917375,251.607329338,215.151769356,16.0284,20.4271599817
 01/02  16:00:00,164.244244235,7.43082727185,0.0,0.0,80.527626,73.092045,229.317309762,202.737152841,3.20568,23.3744769205
 01/02  17:00:00,169.669769913,7.43082727185,0.0,0.0,80.527626,73.092045,204.371793673,198.276593245,3.20568,2.88952042802
 01/02  18:00:00,129.511592131,7.43082727185,0.0,0.0,80.527626,29.818365,250.074325541,243.979515525,3.20568,2.88913001533
 01/02  19:00:00,129.469559036,7.43082727185,0.0,0.0,80.527626,29.818365,255.84271448,243.985611767,3.20568,8.65142271381
 01/02  20:00:00,129.414765926,7.43082727185,0.0,0.0,80.527626,29.818365,245.365473032,233.492767528,3.20568,8.66702550331
 01/02  21:00:00,129.257995851,7.43082727185,0.0,0.0,80.527626,29.818365,237.794635729,228.80935624,3.20568,5.77959948911
 01/02  22:00:00,55.4917148074,0.0,0.0,0.0,15.863942322,29.242365,11.8664488112,0.0,3.20568,8.6607688112
 01/02  23:00:00,55.3717305185,0.0,0.0,0.0,15.863942322,29.242365,6.09674596735,0.0,3.20568,2.89106596735
 01/02  24:00:00,56.1540561977,0.0,0.0,0.0,15.863942322,29.242365,8.96218220154,0.0,3.20568,5.75650220154
 01/03  01:00:00,55.3895338835,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.3862797361,0.0,0.0,0.0,15.863942322,29.242365,6.09044272662,0.0,3.20568,2.88476272662
 01/03  03:00:00,55.3852223485,0.0,0.0,0.0,15.863942322,29.242365,6.09045988242,0.0,3.20568,2.88477988242
 01/03  04:00:00,55.3802238342,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,56.43724592,0.0,0.0,0.0,15.863942322,29.242365,6.09047691857,0.0,3.20568,2.88479691857
 01/03  06:00:00,56.2638452907,0.0,0.0,0.0,15.863942322,29.242365,6.09049387805,0.0,3.20568,2.88481387805
 01/03  07:00:00,66.014680111,7.43082727185,0.00265441086106,0.0,15.863942322,29.818365,512.803522854,509.577842854,3.20568,0.02
 01/03  08:00:00,124.125068914,7.43082727185,0.0,0.0,80.527626,29.818365,409.232145657,403.137134407,3.20568,2.8893312505
 01/03  09:00:00,166.366145959,7.43082727185,0.00364500650925,0.0,80.527626,75.0917375,340.103902773,304.476520799,24.0426,11.5847819747
 01/03  10:00:00,166.371157699,7.43082727185,0.00214376479981,0.0,80.527626,75.0917375,318.102098313,273.636847368,24.0426,20.4226509455
 01/03  11:00:00,170.364395646,7.43082727185,0.00133126654557,0.0,80.527626,79.0911225,310.997592974,255.579790491,32.0568,23.3610024822
 01/03  12:00:00,171.123442715,7.43082727185,0.0,0.0,80.527626,79.0911225,283.176088172,227.692070819,32.0568,23.4272173524
 01/03  13:00:00,170.360851297,7.43082727185,0.0,0.0,80.527626,79.0911225,276.779671501,218.309607922,32.0568,26.4132635794
 01/03  14:00:00,166.378032178,7.43082727185,0.0,0.0,80.527626,75.0917375,273.381415275,227.970437086,16.0284,29.3825781895
 01/03  15:00:00,166.374432379,7.43082727185,0.0,0.0,80.527626,75.0917375,263.181135889,226.724193713,16.0284,20.4285421757
 01/03  16:00:00,164.348265084,7.43082727185,0.0,0.0,80.527626,73.092045,253.242034647,229.583073085,3.20568,20.4532815628
 01/03  17:00:00,169.955685706,7.43082727185,0.0,0.0,80.527626,73.092045,239.577582663,233.482566454,3.20568,2.88933620862
 01/03  18:00:00,129.57382963,7.43082727185,0.0,0.0,80.527626,29.818365,278.396840929,269.432440091,3.20568,5.75872083808
 01/03  19:00:00,129.58326513,7.43082727185,0.0,0.0,80.527626,29.818365,295.326475219,286.346514293,3.20568,5.77428092581
 01/03  20:00:00,129.591910688,7.43082727185,0.0,0.0,80.527626,29.818365,305.425508405,293.551006073,3.20568,8.66882233151
 01/03  21:00:00,129.598473657,7.43082727185,0.0,0.0,80.527626,29.818365,309.905067744,298.861701493,3.20568,7.83768625071
 01/03  22:00:00,55.2982963395,0.0,0.0,0.0,15.863942322,29.242365,9.80716285129,0.0,3.20568,6.60148285129
 01/03  23:00:00,55.3478374734,0.0,0.0,0.0,15.863942322,29.242365,8.96783776742,0.0,3.20568,5.76215776742
 01/03  24:00:00,56.1446958405,0.0,0.0,0.0,15.863942322,29.242365,6.09402805069,0.0,3.20568,2.88834805069
 01/04  01:00:00,55.3789633115,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  02:00:00,55.3783524953,0.0,0.0,0.0,15.863942322,29.242365,6.09051950949,0.0,3.20568,2.88483950949
 01/04  03:00:00,55.3732706218,0.0,0.0,0.0,15.863942322,29.242365,6.09054035884,0.0,3.20568,2.88486035884
 01/04  04:00:00,56.3831157111,1.0097108213,0.0,0.0,15.863942322,29.242365,3.91290122845,0.687221228446,3.20568,0.02
