Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5831001177,2.1625839649,0.0,0.0,1.85583932782,5.577,26.5222178754,21.7818575163,3.0011,1.73926035909
 01/01  02:00:00,9.57695211904,0.0,0.0,0.0,0.618613109274,5.0,3.59317686228,0.0,3.0011,0.592076862284
 01/01  03:00:00,9.59825911804,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.60471427723,0.0,0.0,0.0,0.618613109274,5.0,3.59315690573,0.0,3.0011,0.592056905728
 01/01  05:00:00,9.75757259793,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7427296836,2.1625839649,0.0,0.0,1.85583932782,5.577,29.939305204,24.8455923725,4.50165,0.59206283145
 01/01  07:00:00,28.2064428719,2.1625839649,0.0,0.0,3.71167865564,18.077,35.1504019706,20.480231833,13.50495,1.16522013759
 01/01  08:00:00,26.8886870107,2.1625839649,0.0,0.0,3.71167865564,18.077,41.7148424197,19.5420721107,21.0077,1.16507030898
 01/01  09:00:00,20.6485783132,2.1625839649,0.0,0.0,3.71167865564,13.077,31.2055110798,14.4619809393,15.0055,1.73803014046
 01/01  10:00:00,20.6909221453,2.1625839649,0.0,0.0,3.71167865564,13.077,22.975694021,6.80482578601,15.0055,1.16536823497
 01/01  11:00:00,25.7397048265,2.1625839649,0.0,0.0,3.71167865564,18.077,38.9412023859,1.8904274268,33.0121,4.0386749591
 01/01  12:00:00,26.9089016664,2.1625839649,0.00158446609858,0.0,3.71167865564,18.077,45.1276223421,0.0,40.51485,4.61277234209
 01/01  13:00:00,26.1210315017,2.1625839649,0.0221712386503,0.0,3.71167865564,18.077,38.9015815719,0.0,36.0132,2.8883815719
