Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5361214236,2.18935173989,0.0,0.0,1.85583932782,5.577,66.3724069613,61.0584485137,3.0011,2.31285844765
 01/01  02:00:00,9.46718356857,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.48587442582,0.0,0.0,0.0,0.618613109274,5.0,3.593157595,0.0,3.0011,0.592057594998
 01/01  04:00:00,9.49764110425,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.64737444739,0.0,0.0,0.0,0.618613109274,5.0,3.59316352141,0.0,3.0011,0.592063521414
 01/01  06:00:00,13.6806291215,2.18935173989,0.0,0.0,1.85583932782,5.577,75.1567622667,70.6351122667,4.50165,0.02
 01/01  07:00:00,28.1571120057,2.18935173989,0.0,0.0,3.71167865564,18.077,78.5815356267,63.3387610291,13.50495,1.73782459753
 01/01  08:00:00,26.210129801,2.18935173989,0.0,0.0,3.71167865564,18.077,81.4257049552,58.6799767221,21.0077,1.73802823308
 01/01  09:00:00,20.5775272032,2.18935173989,0.0,0.0,3.71167865564,13.077,73.2574273806,57.086353103,15.0055,1.16557427761
 01/01  10:00:00,20.587015277,2.18935173989,0.0,0.0,3.71167865564,13.077,68.916912408,52.1730460185,15.0055,1.73836638951
 01/01  11:00:00,25.584638825,2.18935173989,0.0,0.0,3.71167865564,18.077,82.5126284138,44.3103797004,33.0121,5.19014871336
 01/01  12:00:00,26.7459872185,2.18935173989,0.0,0.0,3.71167865564,18.077,82.1612816953,37.031994057,40.51485,4.61443763825
 01/01  13:00:00,25.80998888,2.18935173989,0.0,0.0,3.71167865564,18.077,72.371301698,32.8949444014,36.0132,3.46315729664
 01/01  14:00:00,25.6099926449,2.18935173989,0.0,0.0,3.71167865564,18.077,66.588517676,31.0394084813,31.51155,4.03755919475
 01/01  15:00:00,20.6124378323,2.18935173989,0.0,0.0,3.71167865564,13.077,56.8659781138,32.971345942,21.0077,2.88693217172
 01/01  16:00:00,20.6001052136,2.18935173989,0.0,0.0,3.71167865564,13.077,56.6166160263,34.2223878414,19.50715,2.88707818488
 01/01  17:00:00,22.4175678506,2.18935173989,0.0,0.0,3.71167865564,13.077,60.5193809876,34.5507677638,22.50825,3.46036322387
 01/01  18:00:00,28.0527016558,2.18935173989,0.0,0.0,3.71167865564,18.077,62.341434515,33.3689275312,25.50935,3.46315698378
 01/01  19:00:00,28.0549495004,2.18935173989,0.0,0.0,3.71167865564,18.077,62.9823472063,32.8573992315,25.50935,4.61559797479
 01/01  20:00:00,28.1997494553,2.18935173989,0.0,0.0,3.71167865564,18.077,62.3261027591,31.6285791571,25.50935,5.18817360192
 01/01  21:00:00,23.1878368564,2.18935173989,0.0,0.0,3.71167865564,13.077,59.2782835737,33.3070264866,22.50825,3.46300708707
 01/01  22:00:00,23.1229565076,2.18935173989,0.0,0.0,3.71167865564,13.077,59.7466437652,33.5500829218,21.0077,5.1888608434
 01/01  23:00:00,23.0189707076,2.18935173989,0.0,0.0,3.71167865564,13.077,56.9514665762,35.4820573819,18.0066,3.46280919437
 01/01  24:00:00,24.2174992539,2.18935173989,0.0,0.0,3.71167865564,13.077,43.8816242525,38.5688590184,3.0011,2.31166523406
 01/02  01:00:00,13.7355339555,2.18935173989,0.0,0.0,1.85583932782,5.577,53.0792105352,48.3396745991,3.0011,1.73843593614
 01/02  02:00:00,9.4815631164,0.0,0.0,0.0,0.618613109274,5.0,3.59319068623,0.0,3.0011,0.592090686231
 01/02  03:00:00,9.50566799466,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.51823979561,0.0,0.0,0.0,0.618613109274,5.0,3.59314485081,0.0,3.0011,0.592044850807
 01/02  05:00:00,9.66963444798,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.6907698577,2.18935173989,0.0,0.0,1.85583932782,5.577,51.518240213,46.4245394184,4.50165,0.592050794569
 01/02  07:00:00,28.1668623393,2.18935173989,0.0,0.0,3.71167865564,18.077,53.684612593,38.4416880765,13.50495,1.73797451653
 01/02  08:00:00,26.2257877662,2.18935173989,0.0,0.0,3.71167865564,18.077,59.8149844061,33.6140610278,21.0077,5.19322337826
 01/02  09:00:00,20.5933475142,2.18935173989,0.0,0.0,3.71167865564,13.077,54.1516920074,33.954845537,15.0055,5.19134647038
 01/02  10:00:00,20.607911058,2.18935173989,0.0,0.0,3.71167865564,13.077,52.7670688572,33.148528696,15.0055,4.61304016126
 01/02  11:00:00,25.6113818717,2.18935173989,0.0,0.0,3.71167865564,18.077,65.4015615949,28.3528655741,33.0121,4.0365960208
 01/02  12:00:00,26.7631866567,2.18935173989,0.0,0.0,3.71167865564,18.077,68.8778149095,24.3238892973,40.51485,4.03907561222
 01/02  13:00:00,25.8390314249,2.18935173989,0.0,0.0,3.71167865564,18.077,62.0447287418,21.9947387792,36.0132,4.03678996261
 01/02  14:00:00,25.6321690887,2.18935173989,0.0,0.0,3.71167865564,18.077,59.9751990948,25.0021245194,31.51155,3.46152457543
 01/02  15:00:00,20.6291966432,2.18935173989,0.0,0.0,3.71167865564,13.077,54.8057358033,30.9111694308,21.0077,2.88686637248
 01/02  16:00:00,20.6166301372,2.18935173989,0.0,0.0,3.71167865564,13.077,54.3617351854,31.9673850481,19.50715,2.88720013724
 01/02  17:00:00,22.4365601835,2.18935173989,0.0,0.0,3.71167865564,13.077,56.2551645748,30.8599857507,22.50825,2.88692882407
 01/02  18:00:00,28.0694322978,2.18935173989,0.0,0.0,3.71167865564,18.077,58.4520792375,28.9057832776,25.50935,4.03694595985
 01/02  19:00:00,28.0739066614,2.18935173989,0.0,0.0,3.71167865564,18.077,58.3980115679,27.697880431,25.50935,5.1907811369
 01/02  20:00:00,28.2245342601,2.18935173989,0.0,0.0,3.71167865564,18.077,57.0941141264,25.8166272929,25.50935,5.7681368335
 01/02  21:00:00,23.2163732847,2.18935173989,0.0,0.0,3.71167865564,13.077,53.018408639,25.8967844526,22.50825,4.6133741864
 01/02  22:00:00,23.1559527571,2.18935173989,0.0,0.0,3.71167865564,13.077,51.4011688909,25.2022569407,21.0077,5.19121195018
 01/02  23:00:00,23.0408831098,2.18935173989,0.0,0.0,3.71167865564,13.077,51.6520862222,29.6079044888,18.0066,4.03758173338
 01/02  24:00:00,24.2291964717,2.18935173989,0.0,0.0,3.71167865564,13.077,40.0135180442,34.1267168732,3.0011,2.88570117098
 01/03  01:00:00,13.7476966484,2.18935173989,0.0,0.0,1.85583932782,5.577,45.211794443,40.4722435587,3.0011,1.73845088429
 01/03  02:00:00,9.49548631975,0.0,0.0,0.0,0.618613109274,5.0,3.59317910944,0.0,3.0011,0.592079109444
 01/03  03:00:00,9.52465017056,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.5371860924,0.0,0.0,0.0,0.618613109274,5.0,3.59318502178,0.0,3.0011,0.592085021779
 01/03  05:00:00,10.2006897768,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.2108632911,2.18935173989,0.0,0.0,1.85583932782,5.577,52.5328563332,47.4391154303,4.50165,0.592090902831
 01/03  07:00:00,28.3971690883,2.18935173989,0.0,0.0,3.71167865564,18.077,57.7579257274,43.0876465097,13.50495,1.16532921773
 01/03  08:00:00,26.2255151599,2.18935173989,0.0,0.0,3.71167865564,18.077,66.5852733855,39.8089521386,21.0077,5.76862124691
 01/03  09:00:00,20.5913768597,2.18935173989,0.0,0.0,3.71167865564,13.077,62.9366689633,42.7395325797,15.0055,5.19163638353
 01/03  10:00:00,20.5992886145,2.18935173989,0.0,0.0,3.71167865564,13.077,64.0085662063,44.3903971842,15.0055,4.61266902211
 01/03  11:00:00,25.5945479558,2.18935173989,0.0,0.0,3.71167865564,18.077,77.5092330924,41.0340726061,33.0121,3.46306048629
 01/03  12:00:00,26.75190718,2.18935173989,0.0,0.0,3.71167865564,18.077,81.8255676131,36.6972846359,40.51485,4.61343297716
 01/03  13:00:00,25.8171501339,2.18935173989,0.0,0.0,3.71167865564,18.077,73.1733125906,33.1233090967,36.0132,4.0368034939
 01/03  14:00:00,25.6183309967,2.18935173989,0.0,0.0,3.71167865564,18.077,68.0824594509,33.1095433904,31.51155,3.46136606054
 01/03  15:00:00,20.6177270421,2.18935173989,0.0,0.0,3.71167865564,13.077,60.5729282166,36.6783069567,21.0077,2.88692125992
 01/03  16:00:00,20.6012641022,2.18935173989,0.0,0.0,3.71167865564,13.077,61.2867223484,38.8927680446,19.50715,2.88680430375
 01/03  17:00:00,22.4184029386,2.18935173989,0.0,0.0,3.71167865564,13.077,64.2976936044,38.9022827806,22.50825,2.88716082384
 01/03  18:00:00,28.056086306,2.18935173989,0.0,0.0,3.71167865564,18.077,64.7034612656,35.1572278389,25.50935,4.03688342678
 01/03  19:00:00,28.0577810813,2.18935173989,0.0,0.0,3.71167865564,18.077,65.408148596,34.7080340361,25.50935,5.19076455987
 01/03  20:00:00,28.058886536,2.18935173989,0.0,0.0,3.71167865564,18.077,65.9722080651,34.6946590648,25.50935,5.76819900031
 01/03  21:00:00,23.0554580382,2.18935173989,0.0,0.0,3.71167865564,13.077,63.3918598127,36.2701351611,22.50825,4.6134746516
 01/03  22:00:00,23.0212149236,2.18935173989,0.0,0.0,3.71167865564,13.077,63.1477052785,36.9486148819,21.0077,5.19139039658
 01/03  23:00:00,23.0199853141,2.18935173989,0.0,0.0,3.71167865564,13.077,60.5955636817,38.5512056184,18.0066,4.03775806332
 01/03  24:00:00,24.2188066672,2.18935173989,0.0,0.0,3.71167865564,13.077,46.9858792016,41.0994518529,3.0011,2.88532734869
 01/04  01:00:00,13.7372113238,2.18935173989,0.0,0.0,1.85583932782,5.577,52.3116163754,47.5723958218,3.0011,1.73812055357
 01/04  02:00:00,9.48145568588,0.0,0.0,0.0,0.618613109274,5.0,3.5931894127,0.0,3.0011,0.592089412696
 01/04  03:00:00,9.50618535316,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.51990761934,0.0,0.0,0.0,0.618613109274,5.0,3.59316431303,0.0,3.0011,0.592064313026
 01/04  05:00:00,9.6709266881,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
