Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.595817494,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.612258622,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.585801964,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.565140066,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,117.992844781,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,117.982449438,0.0,0.0,0.0,43.513341876,52.539744,13.4457814629,0.0,4.83426,8.61152146286
 01/01  07:00:00,117.998111326,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,108.883251642,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,99.9827518712,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.094339677,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.161294622,0.0,0.0,0.0,43.513341876,52.539744,13.4525920472,0.0,4.83426,8.61833204716
 01/01  12:00:00,101.062577019,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.242002864,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.338396865,0.0,0.0,0.0,43.513341876,52.539744,13.4526411831,0.0,4.83426,8.61838118309
 01/01  15:00:00,100.351719829,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.330484372,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,100.121070559,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,111.990997829,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.92763938,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.324893621,0.0,0.0,0.0,43.513341876,52.539744,13.4458045809,0.0,4.83426,8.61154458094
 01/01  21:00:00,118.200357733,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.916356645,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.577466544,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,118.501010122,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.533683628,0.0,0.0,0.0,43.513341876,52.539744,13.4526310052,0.0,4.83426,8.61837100522
 01/02  02:00:00,117.508409965,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.485060905,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  04:00:00,117.456730152,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,124.797956703,1.28264322564,5.21553020212,0.0,43.513341876,52.539744,13.4549534953,0.00226175273819,4.83426,8.61843174256
 01/02  06:00:00,155.897469886,2.72909966002,34.4282754939,0.0,43.513341876,52.539744,4.87645674897,0.0221967489704,4.83426,0.02
