Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,147.908390895,30.3563153406,0.0,0.0,43.513341876,52.539744,170.323062303,165.468802303,4.83426,0.02
 01/01  02:00:00,159.590335614,42.0257673489,0.0,0.0,43.513341876,52.539744,183.156503536,178.302243536,4.83426,0.02
 01/01  03:00:00,161.523988425,43.8143178572,0.0,0.0,43.513341876,52.539744,253.423381036,248.569121036,4.83426,0.02
 01/01  04:00:00,159.612691263,42.0257673489,0.0,0.0,43.513341876,52.539744,181.933257899,177.078997899,4.83426,0.02
 01/01  05:00:00,158.052737317,39.873482336,0.0,0.0,43.513341876,52.539744,269.815637773,256.367786909,4.83426,8.61359086403
 01/01  06:00:00,156.593184191,38.5791926217,0.0,0.0,43.513341876,52.539744,183.57036433,178.71610433,4.83426,0.02
 01/01  07:00:00,165.855302398,47.6349008879,0.0,0.0,43.513341876,52.539744,263.838652741,258.984392741,4.83426,0.02
 01/01  08:00:00,136.364556082,30.4437657662,0.0,0.0,43.513341876,52.539744,153.575864636,148.721604636,4.83426,0.02
 01/01  09:00:00,124.965198986,24.9376063396,0.0,0.0,43.513341876,52.539744,171.163426109,166.309166109,4.83426,0.02
 01/01  10:00:00,109.41112076,9.494472383,0.0,0.0,43.513341876,52.539744,102.538171866,89.0823269327,4.83426,8.62158493322
 01/01  11:00:00,112.408817297,12.4859164714,0.0,0.0,43.513341876,52.539744,112.041860273,107.187600273,4.83426,0.02
 01/01  12:00:00,112.245590393,11.4715155596,0.0,0.0,43.513341876,52.539744,62.0648377425,57.2105777425,4.83426,0.02
 01/01  13:00:00,112.270459244,12.4859164714,0.0,0.0,43.513341876,52.539744,77.1021141249,63.6463804976,4.83426,8.62147362729
 01/01  14:00:00,103.86470944,4.05760364747,0.0,0.0,43.513341876,52.539744,42.6245273844,37.7702673844,4.83426,0.02
 01/01  15:00:00,104.913157773,5.07200455934,0.0,0.0,43.513341876,52.539744,51.5082307999,46.6539707999,4.83426,0.02
 01/01  16:00:00,103.851519886,4.05760364747,0.0,0.0,43.513341876,52.539744,41.2478610888,36.3936010888,4.83426,0.02
 01/01  17:00:00,116.645338216,5.07200455934,0.0,0.0,43.513341876,52.539744,66.7108827403,53.2630979477,4.83426,8.61352479265
 01/01  18:00:00,121.588160322,4.05760364747,0.0,0.0,43.513341876,52.539744,49.1531754989,44.2989154989,4.83426,0.02
 01/01  19:00:00,127.365132651,9.80271021021,0.0,0.0,43.513341876,52.539744,74.0209806085,69.1667206085,4.83426,0.02
 01/01  20:00:00,131.018735564,13.0484174432,0.0,0.0,43.513341876,52.539744,63.3632182237,58.5089582237,4.83426,0.02
