Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.8825630622,5.73024272421,2.58607674195,0.0,12.925468867,10.100111941,17.6188483459,17.5988483459,0.0,0.02
 01/01  02:00:00,38.559952464,5.69341696582,2.30145036562,0.0,12.925468867,10.100111941,22.7366373426,16.9785116442,0.0,5.7581256984
 01/01  03:00:00,33.362376633,5.62370566357,1.79262452457,0.0,8.34152022915,10.0650221343,19.1423440024,19.1223440024,0.0,0.02
 01/01  04:00:00,33.0413349143,5.58490698916,1.51038045848,0.0,8.34152022915,10.0650221343,26.6569254239,20.8985245125,0.0,5.75840091136
 01/01  05:00:00,34.4693464504,5.56261526388,1.35401651379,0.0,8.34152022915,11.6705166398,26.7145294632,20.9502873665,0.0,5.76424209667
 01/01  06:00:00,38.5516580943,5.55120966979,1.28937813241,0.0,8.80141237637,15.3678112995,24.5784416768,18.8084200435,0.0,5.77002163327
 01/01  07:00:00,59.1124116488,5.62469330185,1.79995155474,0.0,18.5082010057,25.6353820695,25.088496588,19.3080628743,0.0,5.78043371373
 01/01  08:00:00,73.3015045564,5.80297415011,3.12373226997,0.0,19.4926561212,41.1001056674,31.1794329016,19.5769917473,0.0,11.6024411544
 01/01  09:00:00,97.2543531176,6.15401951664,6.73597328589,0.0,26.3286599382,57.9988325916,45.6865523952,10.2208153594,0.0,35.4657370358
 01/01  10:00:00,83.9000031914,6.09444053841,8.71486103363,0.0,26.2443270014,42.8153538416,52.2932791659,4.86739112936,18.025,29.4008880365
 01/01  11:00:00,59.228269647,5.94445417898,8.06787461929,0.0,21.7447113004,23.4437158914,43.8179714497,2.33883903795,18.025,23.4541324117
 01/01  12:00:00,57.9272442585,6.06699411107,9.04644505084,0.0,19.3449162599,23.4437158914,41.9745707287,0.545771349861,18.025,23.4037993788
