Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,44.3677601485,5.57832037923,0.0476499506336,8.1752500367,12.925468867,10.100111941,51.8383629664,51.8183629664,0.0,0.02
 01/01  02:00:00,47.4887488513,5.68625372875,0.0322889459912,11.2049028174,12.925468867,10.100111941,66.194866663,60.4338108509,0.0,5.76105581207
 01/01  03:00:00,44.1633930906,5.73483164777,0.0231350207315,12.4591581636,8.34152022915,10.0650221343,65.7360413827,59.9744057085,0.0,5.76163567419
 01/01  04:00:00,45.447178335,5.78102086354,0.0164076943952,13.7034818381,8.34152022915,10.0650221343,65.9427759978,60.1812088809,0.0,5.76156711691
 01/01  05:00:00,48.0946642046,5.81819930244,0.0110147734884,14.7124451062,8.34152022915,11.6705166398,65.8787977435,60.110731996,0.0,5.76806574754
 01/01  06:00:00,53.1511438404,5.85026393082,0.00621585925127,15.5832281474,8.80141237637,15.3678112995,65.0776093035,59.3019673295,0.0,5.77564197392
 01/01  07:00:00,71.9003102759,5.80049175457,0.0135312243237,14.3980085944,18.5082010057,25.6353820695,64.1366711458,58.3484739947,0.0,5.78819715108
 01/01  08:00:00,79.1846931332,5.66492891782,0.0493686746944,10.978722638,19.4926561212,41.1001056674,72.7663105734,55.3303304737,0.0,17.4359800997
 01/01  09:00:00,97.152438499,5.61262674913,1.31753041338,5.85676339175,26.3286599382,57.9988325916,85.6691155977,44.0698808766,0.0,41.5992347211
 01/01  10:00:00,83.5358056169,5.59369666747,2.82385741747,6.02675982685,26.2443270014,42.8153538416,86.5429306637,38.9862616509,18.025,29.5316690128
 01/01  11:00:00,60.6278018421,5.58307582697,2.54567692125,7.2825366414,21.7447113004,23.4437158914,83.4241997427,35.9746930423,18.025,29.4245067004
