Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,80.9310457988,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,80.3848739027,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,79.6589685519,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553259578,0.0,1.75125,1.16428259578
 01/01  04:00:00,79.0564194694,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,85.4463874247,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,85.0848127664,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549305641,0.0,1.75125,1.16424305641
 01/01  07:00:00,123.355348306,25.7358398018,0.0,0.0,6.98738001645,14.1499734587,325.962747037,322.440247037,3.5025,0.02
 01/01  08:00:00,126.928575919,25.7358398018,0.0,0.0,6.98738001645,14.1499734587,316.985825975,313.463325975,3.5025,0.02
 01/01  09:00:00,156.379686867,25.7358398018,0.0,0.0,6.98738001645,14.1499734587,254.691309753,250.024416417,3.5025,1.16439333621
 01/01  10:00:00,131.91287626,25.7358398018,0.0,0.0,6.98738001645,14.1499734587,213.134449928,209.611949928,3.5025,0.02
 01/01  11:00:00,170.239585756,25.7358398018,0.0915908285327,0.0,27.9495200658,27.7759469175,167.767899701,159.598128244,7.005,1.16477145792
 01/01  12:00:00,203.827871404,25.7358398018,0.0514500569415,0.0,27.9495200658,27.7759469175,135.656630856,127.486901394,7.005,1.16472946269
 01/01  13:00:00,217.614741154,25.7358398018,1.01775624088,0.0,41.9242800987,36.8599292233,101.08935687,91.7293568697,9.34,0.02
 01/01  14:00:00,215.736492957,25.7358398018,1.37120778117,0.0,41.9242800987,36.8599292233,92.8238613027,82.3190183181,9.34,1.16484298453
 01/01  15:00:00,209.860091942,25.7358398018,1.60435643474,0.0,41.9242800987,36.8599292233,88.6924300681,78.187607185,9.34,1.16482288313
 01/01  16:00:00,205.957110313,25.7358398018,1.85083283859,0.0,41.9242800987,36.8599292233,85.0044574577,74.4996155139,9.34,1.16484194387
 01/01  17:00:00,205.474041042,25.7358398018,1.88029890368,0.0,41.9242800987,36.8599292233,88.3367891845,77.8318728904,9.34,1.16491629409
 01/01  18:00:00,182.168966783,25.7358398018,0.518674159718,0.0,27.9495200658,27.7759469175,126.339315163,119.314315163,7.005,0.02
 01/01  19:00:00,189.269267831,25.7358398018,0.0,0.0,13.9747600329,18.6919646116,148.023236428,142.188565701,4.67,1.16467072733
 01/01  20:00:00,168.130737358,25.7358398018,0.0,0.0,13.9747600329,18.6919646116,167.401034474,161.566342,4.67,1.16469247426
 01/01  21:00:00,156.83297796,25.7358398018,0.0,0.0,13.9747600329,18.6919646116,197.844033228,193.154033228,4.67,0.02
 01/01  22:00:00,141.236580725,25.7358398018,0.0,0.0,13.9747600329,18.6919646116,184.743897961,178.909400946,4.67,1.16449701519
 01/01  23:00:00,83.1410274447,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,117.503923089,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554300194,0.0,1.75125,1.16429300194
 01/02  01:00:00,88.9823573473,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
