Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,81.8880190714,6.29265561754,0.0,0.0,3.49369000822,6.81298672936,20.2180038919,18.4467538919,1.75125,0.02
 01/01  02:00:00,91.1868896082,15.9753449883,0.0,0.0,3.49369000822,6.81298672936,59.1525731681,57.3813231681,1.75125,0.02
 01/01  03:00:00,93.0177310796,17.8126939298,0.0,0.0,3.49369000822,6.81298672936,65.4617663256,62.5461594243,1.75125,1.16435690136
 01/01  04:00:00,88.9962104811,13.8710752874,0.0,0.0,3.49369000822,6.81298672936,51.3735123319,49.6022623319,1.75125,0.02
 01/01  05:00:00,97.7247303791,16.2673881113,0.0,0.0,3.49369000822,6.81298672936,76.1054564397,74.3342064397,1.75125,0.02
 01/01  06:00:00,98.9948360175,17.8126939298,0.0,0.0,3.49369000822,6.81298672936,80.7035742265,77.7880022751,1.75125,1.16432195139
 01/01  07:00:00,123.724211931,28.840910342,0.0,0.0,6.98738001645,14.1499734587,601.858596963,598.336096963,3.5025,0.02
 01/01  08:00:00,122.372963122,28.840910342,0.0,0.0,6.98738001645,14.1499734587,554.787393067,551.264893067,3.5025,0.02
 01/01  09:00:00,154.537331416,28.840910342,0.0,0.0,6.98738001645,14.1499734587,476.815735552,472.148850733,3.5025,1.16438481933
 01/01  10:00:00,127.046923164,28.840910342,0.0,0.0,6.98738001645,14.1499734587,442.294046781,438.771546781,3.5025,0.02
 01/01  11:00:00,161.712729977,28.840910342,0.0,0.0,27.9495200658,27.7759469175,390.979911085,382.81015309,7.005,1.16475799558
 01/01  12:00:00,193.197835885,28.840910342,0.0,0.0,27.9495200658,27.7759469175,361.297168302,353.127363355,7.005,1.1648049472
 01/01  13:00:00,200.433150442,28.840910342,0.0,0.0,41.9242800987,36.8599292233,326.584046288,316.079040562,9.34,1.1650057263
 01/01  14:00:00,197.704607214,28.840910342,0.0,0.0,41.9242800987,36.8599292233,308.079020331,297.574082062,9.34,1.16493826832
 01/01  15:00:00,193.951591683,28.840910342,0.0,0.0,41.9242800987,36.8599292233,298.249408623,287.744398902,9.34,1.165009721
 01/01  16:00:00,190.590131464,28.840910342,0.0,0.0,41.9242800987,36.8599292233,295.482674609,284.977730689,9.34,1.16494392026
 01/01  17:00:00,200.831327394,28.840910342,0.0,0.0,41.9242800987,36.8599292233,293.900831939,283.395897911,9.34,1.16493402795
 01/01  18:00:00,175.797173659,28.840910342,0.0,0.0,27.9495200658,27.7759469175,343.728624632,336.703624632,7.005,0.02
 01/01  19:00:00,182.177606105,28.840910342,0.0,0.0,13.9747600329,18.6919646116,368.106156557,362.271397717,4.67,1.16475883978
 01/01  20:00:00,162.321922035,28.840910342,0.0,0.0,13.9747600329,18.6919646116,366.62967476,360.79495935,4.67,1.16471540964
 01/01  21:00:00,153.512333097,28.840910342,0.0,0.0,13.9747600329,18.6919646116,368.474787961,362.640181435,4.67,1.16460652543
 01/01  22:00:00,139.210487178,28.840910342,0.0,0.0,13.9747600329,18.6919646116,323.361178917,318.671178917,4.67,0.02
 01/01  23:00:00,77.319292038,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559941036,0.0,1.75125,1.16434941036
 01/01  24:00:00,112.996138552,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,88.3161910362,4.11060871083,0.0,0.0,3.49369000822,9.08398230582,12.2652544822,9.91025448224,2.335,0.02
 01/02  02:00:00,90.2164453685,12.3318261325,0.0,0.0,3.49369000822,9.08398230582,29.0996832539,26.7446832539,2.335,0.02
 01/02  03:00:00,86.2257698497,8.39020749006,0.0,0.0,3.49369000822,9.08398230582,24.3990430633,20.8997472674,2.335,1.16429579587
 01/02  04:00:00,90.5014187243,12.8387963377,0.0,0.0,3.49369000822,9.08398230582,38.2303207746,35.8753207746,2.335,0.02
 01/02  05:00:00,97.022672394,12.6698062693,0.0,0.0,3.49369000822,9.08398230582,34.7290968743,32.3740968743,2.335,0.02
 01/02  06:00:00,93.327936251,9.38528465364,0.0,0.0,3.49369000822,9.08398230582,27.1228578963,23.6235818072,2.335,1.1642760891
 01/02  07:00:00,138.135037661,28.840910342,0.0,0.0,13.9747600329,18.6919646116,439.192796576,434.502796576,4.67,0.02
 01/02  08:00:00,137.135404774,28.840910342,0.0,0.0,13.9747600329,18.6919646116,389.752457135,383.917986845,4.67,1.16447028974
 01/02  09:00:00,209.841094613,28.840910342,0.0,0.0,34.9369000822,32.3179380704,345.776966532,337.584466532,8.1725,0.02
 01/02  10:00:00,234.235028326,28.840910342,0.0,0.0,62.886420148,41.4019203762,301.690384059,290.017985078,10.5075,1.16489898118
 01/02  11:00:00,224.708771716,28.840910342,0.0,0.0,62.886420148,41.4019203762,280.860992716,269.188472919,10.5075,1.16501979693
 01/02  12:00:00,255.329609447,28.840910342,0.0,0.0,62.886420148,41.4019203762,263.628765537,251.955761193,10.5075,1.1655043445
 01/02  13:00:00,235.311968395,28.840910342,0.0,0.0,62.886420148,41.4019203762,257.476945481,244.65844897,10.5075,2.31099651141
 01/02  14:00:00,232.711080063,28.840910342,0.0,0.0,62.886420148,41.4019203762,260.088902395,248.41599275,10.5075,1.16540964555
 01/02  15:00:00,230.417893911,28.840910342,0.0,0.0,62.886420148,41.4019203762,263.792569818,252.119869045,10.5075,1.16520077277
 01/02  16:00:00,227.935231444,28.840910342,0.0,0.0,62.886420148,41.4019203762,253.925799022,241.107925604,10.5075,2.31037341834
 01/02  17:00:00,238.719816928,28.840910342,0.0,0.0,62.886420148,41.4019203762,248.857116795,237.184375524,10.5075,1.1652412713
 01/02  18:00:00,242.133662528,28.840910342,0.0,0.0,62.886420148,41.4019203762,259.518877806,247.846248809,10.5075,1.16512899717
 01/02  19:00:00,240.887580853,28.840910342,0.0,0.0,41.9242800987,36.8599292233,263.518379431,253.013284533,9.34,1.1650948977
 01/02  20:00:00,225.578482971,28.840910342,0.0,0.0,41.9242800987,36.8599292233,263.607195692,253.10232522,9.34,1.16487047177
 01/02  21:00:00,200.390091453,28.840910342,0.0,0.0,34.9369000822,32.3179380704,263.124384338,253.786948328,8.1725,1.16493601003
 01/02  22:00:00,143.509910185,28.840910342,0.0,0.0,13.9747600329,18.6919646116,227.808693053,223.118693053,4.67,0.02
 01/02  23:00:00,85.2902384412,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49948862607,0.0,2.335,1.16448862607
 01/02  24:00:00,120.162920421,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,89.0518545557,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,81.5780634796,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930606225,0.0,2.335,1.16430606225
 01/03  03:00:00,80.8496955726,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,88.5668225209,8.22121742166,0.0,0.0,3.49369000822,9.08398230582,15.7057259793,13.3507259793,2.335,0.02
 01/03  05:00:00,114.721585763,12.3318261325,0.0,0.0,3.49369000822,9.08398230582,27.7623963238,24.2631265784,2.335,1.16426974535
 01/03  06:00:00,113.931572231,12.3318261325,0.0,0.0,3.49369000822,9.08398230582,30.9908612034,28.6358612034,2.335,0.02
 01/03  07:00:00,155.072769371,28.840910342,0.0,0.0,13.9747600329,18.6919646116,433.806690512,429.116690512,4.67,0.02
 01/03  08:00:00,146.447244472,28.840910342,0.0,0.0,13.9747600329,18.6919646116,402.673165466,396.83862592,4.67,1.16453954606
 01/03  09:00:00,209.952933003,28.840910342,0.0,0.0,34.9369000822,32.3179380704,374.05291644,364.715778265,8.1725,1.16463817438
 01/03  10:00:00,233.913472537,28.840910342,0.0,0.0,62.886420148,41.4019203762,339.80322944,329.27572944,10.5075,0.02
 01/03  11:00:00,224.259804845,28.840910342,0.0,0.0,62.886420148,41.4019203762,325.307393441,313.634798758,10.5075,1.16509468237
 01/03  12:00:00,254.931257671,28.840910342,0.0,0.0,62.886420148,41.4019203762,308.424270231,295.605748147,10.5075,2.3110220832
 01/03  13:00:00,234.564874744,28.840910342,0.0,0.0,62.886420148,41.4019203762,296.535728794,284.862543955,10.5075,1.16568483844
 01/03  14:00:00,231.637332863,28.840910342,0.0,0.0,62.886420148,41.4019203762,291.2127199,278.394360914,10.5075,2.31085898578
 01/03  15:00:00,227.802858949,28.840910342,0.0,0.0,62.886420148,41.4019203762,286.622912073,274.950260371,10.5075,1.16515170178
 01/03  16:00:00,224.391775055,28.840910342,0.0,0.0,62.886420148,41.4019203762,281.907801053,270.235128046,10.5075,1.16517300785
 01/03  17:00:00,234.587955244,28.840910342,0.0,0.0,62.886420148,41.4019203762,283.231153935,271.558349718,10.5075,1.16530421717
 01/03  18:00:00,237.978648787,28.840910342,0.0,0.0,62.886420148,41.4019203762,287.425715617,275.753027253,10.5075,1.16518836384
 01/03  19:00:00,237.237027751,28.840910342,0.0,0.0,41.9242800987,36.8599292233,294.885173671,284.379995434,9.34,1.16517823611
 01/03  20:00:00,214.525514157,28.840910342,0.0,0.0,41.9242800987,36.8599292233,302.83699109,292.33200024,9.34,1.16499084984
 01/03  21:00:00,190.103501263,28.840910342,0.0,0.0,34.9369000822,32.3179380704,309.995031749,300.657671089,8.1725,1.16486066009
 01/03  22:00:00,134.51854587,28.840910342,0.0,0.0,13.9747600329,18.6919646116,286.846303071,281.011694476,4.67,1.16460859494
